rating,keyword,relevance,bucket
1, mini chili dogs, 0.921034, 0
1, Huntersville location, 0.80225, 0
1, horrible service, 0.771806, 1
1, special night, 0.764738, 1
1, elementary school raise, 0.896956, 2
1, Mike B., 0.800337, 2
1, bad food experiences, 0.954978, 3
1, wrong sides, 0.780353, 3
1, person, 0.714472, 4
1, waitress, 0.873936, 5
1, time, 0.666223, 5
1, Tryon location, 0.795651, 6
1, chicken sandwch, 0.793226, 6
1, good beer selection, 0.957863, 7
1, times, 0.704639, 7
1, good local place, 0.929749, 8
1, training course, 0.78569, 8
2, Cool sports bar, 0.807775, 0
2, Sunset Wheat beer, 0.777171, 0
2, good experience, 0.605957, 1
2, negative review, 0.595094, 1
2, sports bar, 0.974758, 2
2, bar area, 0.595325, 2
2, amazing fish dishes, 0.767877, 3
2, place, 0.724962, 3
2, ample flat screens, 0.822871, 4
2, pool tables, 0.631753, 4
2, Good thing, 0.614827, 6
2, brown tips, 0.588192, 6
2, preppy establishments, 0.601012, 7
2, attractive people, 0.598437, 7
2, cool giant tvs, 0.728489, 8
2, okey dokey, 0.586622, 8
3, flat screens, 0.715523, 0
3, typical southern-style bar/restaurant, 0.710869, 0
3, typical bar food, 0.823459, 1
3, multiple pool tables, 0.732534, 1
3, typical chain bar, 0.717985, 2
3, loud fan base, 0.708382, 2
3, pool tables, 0.936412, 3
3, bar food, 0.861972, 3
3, bar, 0.876313, 4
3, game, 0.686452, 4
3, Fox, 0.649389, 5
3, sporting events, 0.700561, 6
3, college age kids, 0.698082, 6
3, Great sports bar, 0.761622, 7
3, loud sports crowd, 0.701167, 7
3, sporting event, 0.711673, 8
3, good place, 0.705794, 8
3, large projection screen, 0.700333, 9
3, main game, 0.628867, 9
4, good restaurants downtown, 0.732058, 0
4, late Friday night, 0.711679, 0
4, huge mistake, 0.613845, 1
4, laid back atmosphere, 0.617854, 2
4, Wednesday night, 0.615105, 2
4, Black Forest sandwich, 0.935786, 3
4, Typical bar food, 0.723045, 3
4, pool tables, 0.698938, 5
4, Black Forest, 0.96229, 6
4, monterey jack cheese, 0.683622, 6
4, pretty good customer, 0.728534, 7
4, rewards program, 0.70728, 7
4, great place, 0.651393, 8
4, decent place, 0.644655, 8
4, pretty reliable place, 0.738166, 9
4, decent pub grub, 0.726424, 9
5, Huge projection screen, 0.814614, 0
5, Hound Smokehouse, 0.731312, 0
5, poorly lit, 0.684978, 1
5, Charlotte, 0.557167, 1
5, big screen TV, 0.857727, 2
5, pool tables, 0.653369, 2
5, girl, 0.489851, 4
5, different marinades, 0.655397, 6
5, Cheddar Cheese, 0.654809, 6
5, New York, 0.916052, 7
5, wild wings, 0.699145, 7
5, Great minds, 0.650707, 8
5, service, 0.482404, 8
5, certain confidence, 0.679079, 9
5, cool place, 0.624823, 9
