rating, keyword, relevance, bucket
2, Cash only bugs, 0.952117, 0
2, modern age, 0.83766, 0
2, way, 0.597535, 6
2, seating area, 0.827684, 7
2, bartenders, 0.715917, 8
2, bit, 0.664832, 8
4, nice sake flasks, 0.979121, 0
4, Red House Pub, 0.74993, 0
4, pretentious watering holes, 0.854943, 1
4, inauspicious brand, 0.571055, 1
4, sake sets, 0.689488, 7
4, neighborhood hot spot, 0.679039, 7
4, nice patio, 0.630725, 8
4, good selection, 0.517741, 8
4, patio space, 0.542873, 9
4, real delight, 0.528849, 9
5, Great little spot, 0.927615, 0
5, Saturday wine bar, 0.74502, 0
5, attitude, 0.446442, 2
5, majority, 0.453925, 3
5, pit, 0.449118, 3
5, perfect glass, 0.603944, 7
5, art walk, 0.603546, 7
5, night party spot, 0.873846, 8
5, late afternoon cocktail, 0.807457, 8
5, new favorite spot, 0.861285, 9
5, excellent beer, 0.59103, 9
