rating,keyword,relevance,bucket
2, fish fry experience, 0.918817, 0
2, perch, 0.572104, 0
2, wedge salad, 0.803267, 1
2, star stone ages, 0.936894, 2
2, duplicate reviews, 0.75606, 2
2, 5-stars, 0.551939, 3
2, notch group, 0.804528, 6
2, beer selections, 0.75919, 6
2, example, 0.550732, 7
2, staff, 0.550662, 8
3, fashion type restaurant, 0.906429, 0
3, cheesy hash browns, 0.878237, 0
3, bar food, 0.605995, 1
3, undercooked potatoes, 0.684443, 2
3, onions, 0.463887, 2
3, weekday evening, 0.706418, 3
3, fabulous meal, 0.667838, 3
3, better places, 0.637172, 6
3, ribs, 0.54368, 6
4, old school bar, 0.742895, 0
4, Supper Club experience, 0.725549, 0
4, shallow angle inboard, 0.733081, 1
4, bar area, 0.641834, 1
4, bar stools, 0.647855, 2
4, crustless quiche, 0.636226, 3
4, right hand, 0.634366, 3
4, fish fry, 0.976538, 6
4, supper club, 0.754328, 6
4, wedge salad, 0.765527, 7
4, banana cream pie, 0.755573, 7
4, Friday fish fry, 0.801429, 8
4, big picture window, 0.731188, 8
4, good place, 0.680634, 9
4, great service, 0.664135, 9
5, gorgeous fall evening, 0.984471, 0
5, long hot bike, 0.866661, 0
5, thing, 0.44703, 1
5, restaurant, 0.495881, 2
5, afternoon, 0.457179, 2
5, bar, 0.449381, 3
5, left, 0.447306, 3
5, Doktor Burgers, 0.721641, 6
5, great meal, 0.659178, 6
5, Snickers cheesecake, 0.730769, 7
5, cheese curds, 0.715308, 7
5, fantastic supper club, 0.90799, 8
5, fish fry, 0.719813, 8
5, big juicy burger, 0.895891, 9
5, modern decor, 0.693992, 9
