rating, keyword, relevance, bucket
3, cabo san lucas, 0.940058, 0
3, flat panel TVs, 0.832837, 0
3, bit, 0.348108, 1
3, bad thing, 0.567882, 2
3, flat screens, 0.541238, 2
3, lunch time, 0.566817, 3
3, mini-cheeseburgers, 0.384122, 3
3, fries, 0.459327, 4
3, place, 0.380408, 4
3, dress code, 0.593343, 6
3, good thing, 0.569497, 6
3, previous reviews, 0.551076, 7
3, salad, 0.36067, 7
3, free Wi-Fi, 0.577044, 8
3, Plug ins, 0.56649, 8
3, cool drink, 0.562552, 9
3, items, 0.341664, 9
4, white shredded thing, 0.873196, 0
4, normal fixings, 0.677813, 0
4, Poor Reds, 0.644503, 1
4, butter, 0.452716, 1
4, speaker box, 0.694696, 2
4, t.v.s, 0.449537, 2
4, basic iceberg lettuce, 0.896056, 3
4, tomato, 0.504852, 3
4, salad, 0.525912, 6
4, appetizers, 0.469442, 6
4, overall experience, 0.671079, 7
4, blue cheese, 0.653151, 7
4, smaller portion entree, 0.92258, 8
4, fun sports bar, 0.87888, 8
4, good fresh bun, 0.915115, 9
4, size chicken burrito, 0.90028, 9
5, kids, 0.939776, 7
5, Kid, 0.856712, 7
5, place, 0.790654, 8
5, family, 0.26449, 8
5, good place, 0.786664, 9
5, time, 0.274234, 9
