rating, keyword, relevance, bucket
1, Rock Lobster, 0.843379, 0
1, good thing, 0.813035, 0
1, Douchebag black doorman, 0.803038, 1
1, sorry dude, 0.728064, 1
1, brain dead bouncer, 0.811123, 2
1, money, 0.728436, 2
1, hip hop blasting, 0.798296, 3
1, college kids, 0.726034, 3
1, place, 0.785895, 4
1, people, 0.738982, 4
1, friends, 0.758023, 5
1, Martini Ranch, 0.939514, 6
1, band, 0.765978, 6
1, adore Lady Gaga, 0.804053, 7
1, Brittney Spears, 0.711335, 7
1, cover songs, 0.722822, 8
1, Nice bartender, 0.722775, 8
2, bit much. ummm, 0.938385, 0
2, Captain Morgan statue, 0.934819, 0
2, LAME vip tables, 0.956915, 1
2, good positives, 0.839975, 1
2, ugliest people, 0.851187, 2
2, crap djs, 0.842193, 2
2, weird drunk chick, 0.939644, 3
2, older fat bastard, 0.939161, 3
2, people, 0.872828, 4
2, place, 0.848072, 4
2, nice area, 0.838892, 6
2, societal elite, 0.837892, 6
2, great ego-boosting compliment, 0.950542, 7
2, unstylish people, 0.859752, 7
2, shaker room, 0.996906, 8
2, pretty good time, 0.984895, 8
3, pretty large patio, 0.464919, 0
3, dance club area., 0.455478, 0
3, place- good luck, 0.490102, 1
3, Overall Martini Ranch, 0.484096, 1
3, upstairs/back dance floor, 0.452574, 2
3, Scottsdale club crew, 0.448902, 2
3, live music, 0.485823, 3
3, bad. live music, 0.449075, 3
3, martini ranch, 0.949404, 4
3, drinks, 0.475552, 4
3, place, 0.676393, 5
3, scottsdale, 0.494974, 6
3, night, 0.488429, 6
3, pretty good dance, 0.466618, 7
3, large outdoor patio, 0.440818, 7
3, old town, 0.56725, 8
3, great time, 0.552553, 8
3, great dance music, 0.451394, 9
3, fun place, 0.428755, 9
4, dance club upstairs, 0.57643, 0
4, good martini, 0.576036, 0
4, loungy bar area, 0.561186, 1
4, cover charge, 0.599068, 2
4, bar area, 0.566874, 2
4, bands, 0.572084, 3
4, live music, 0.667241, 4
4, bar, 0.630213, 4
4, Martini Ranch, 0.930239, 5
4, place, 0.744534, 5
4, dance floor, 0.760499, 6
4, Shaker Room, 0.651503, 6
4, good time, 0.654367, 7
4, Shaker Room upstairs, 0.603018, 7
4, great place, 0.585478, 8
4, floor Martini Ranch, 0.576257, 8
4, pretty great night, 0.574266, 9
4, fun place, 0.566837, 9
5, tight leather pants, 0.685803, 0
5, leopard print muscle, 0.683848, 0
5, Sunday nights, 0.67732, 1
5, freakin shit, 0.609411, 1
5, night, 0.837106, 3
5, cover band, 0.626513, 3
5, martini ranch, 0.940079, 5
5, place, 0.748531, 5
5, sunday night, 0.815159, 6
5, late night snacks, 0.692511, 6
5, shaker room, 0.771248, 7
5, venue Martini ranch, 0.696055, 7
5, great time, 0.675451, 8
5, fabulous good time, 0.673311, 8
5, rocking ass-kicking hairband, 0.690062, 9
5, Reasonably priced drinks, 0.689897, 9
