rating, keyword, relevance, bucket
1, Terrible Starbucks, 0.875782, 0
1, customer service industry, 0.69084, 0
1, orange soda, 0.803261, 1
1, izzue orange soda, 0.733768, 1
1, time, 0.579378, 2
1, drink order, 0.541194, 2
1, Starbucks, 0.981741, 3
1, lower price, 0.503861, 3
1, fresh coffee, 0.765672, 5
1, attentive staff, 0.797484, 6
1, normal Starbucks, 0.745182, 6
1, good thing, 0.496826, 7
1, fast line, 0.494142, 7
1, girl, 0.265715, 8
2, priced..not usual Starbucks, 0.865933, 0
2, heck, 0.352623, 0
2, expensive Starbucks, 0.774545, 1
2, Starbucks location, 0.642981, 1
2, super slow service, 0.711663, 2
2, toxic sticker shock., 0.681009, 2
2, breakfast sandwiches, 0.943638, 3
2, Starbucks, 0.921112, 3
2, apple, 0.34257, 4
2, passion iced tea, 0.64111, 6
2, breakfast buffet, 0.541846, 6
2, casino, 0.337105, 7
2, airport locations, 0.486172, 8
2, pricing, 0.335914, 8
3, sluggish monster, 0.733845, 0
3, preferred drink, 0.684786, 0
3, huge let, 0.697994, 1
3, cranky, 0.461906, 1
3, Starbucks, 0.683942, 2
3, main floor, 0.663577, 2
3, local coffee shop, 0.874202, 3
3, corporate chain, 0.664388, 3
3, grande caramel macchiato, 0.919835, 6
3, extra caramel, 0.683463, 6
3, Iced Americano, 0.733387, 7
3, late morning, 0.665999, 7
3, decent option, 0.679161, 8
3, Fashion, 0.448452, 8
3, staff, 0.448654, 9
4, Starbucks card, 0.828425, 0
4, typical Starbucks, 0.798498, 0
4, little noisy cuz, 0.646294, 1
4, Tasha D. Casinos, 0.622941, 1
4, exit door, 0.512126, 2
4, prices, 0.462875, 2
4, chai latte, 0.525725, 3
4, entrance door, 0.512195, 3
4, starbucks, 0.933949, 5
4, Strip, 0.436188, 5
4, high volume store, 0.597109, 6
4, better reviews, 0.516095, 6
4, Starbuck gold card, 0.58225, 7
4, Quick service, 0.50449, 7
4, nice place, 0.520901, 8
4, good place, 0.505043, 8
4, perfect hand warmer, 0.590443, 9
4, friendly staff, 0.510701, 9
5, Green Tea, 0.561096, 0
5, time, 0.401025, 0
5, china green tips, 0.972931, 3
5, Zen tea, 0.77451, 3
5, long weekend, 0.572337, 6
5, line, 0.432558, 6
5, extra win, 0.557487, 7
5, location, 0.35776, 7
5, staff, 0.44209, 8
5, girls, 0.357316, 8
