rating, keyword, relevance, bucket
1, business, 0.58639, 0
1, place, 0.779463, 2
1, Cigar Lounge, 0.951765, 3
1, area, 0.562786, 3
3, soft opening phase, 0.985587, 0
3, cigar spots, 0.72384, 0
3, thing, 0.429687, 1
3, Illusiones budget stick, 0.870523, 2
3, right wasnt, 0.640866, 2
3, humidor, 0.399933, 3
3, walk, 0.359736, 3
3, cigars, 0.474118, 4
3, matches, 0.417983, 4
3, boutique selections, 0.642263, 6
3, cabinet style, 0.641815, 6
3, live music performances, 0.864525, 7
3, lockers, 0.368526, 7
3, cigar lounge, 0.755679, 8
3, place opening, 0.685739, 8
3, plenty, 0.372003, 9
3, space, 0.363507, 9
4, cracker appetizer, 0.685545, 0
4, Friday afternoon, 0.671824, 0
4, cigars, 0.292864, 2
4, lounge, 0.276676, 2
4, west wing, 0.564598, 3
4, coffee amd hummus, 0.941037, 6
4, non-cigar smokers, 0.607427, 6
4, old school Vegas, 0.83148, 7
4, great place, 0.550497, 7
4, decadent decore, 0.764887, 8
4, presidential suite, 0.640812, 8
4, good recommendations, 0.59262, 9
4, sangria, 0.34672, 9
5, local smoke stop, 0.671382, 0
5, regular stop, 0.492497, 0
5, cigar bar, 0.648982, 1
5, soft opening, 0.532259, 1
5, high end cigars, 0.795821, 2
5, uncomfortable chair, 0.508886, 2
5, cigar lounges, 0.719622, 6
5, Shell gas station, 0.644929, 6
5, cigar lounge, 0.862625, 7
5, awesome gather spots, 0.8359, 7
5, great cigar spot, 0.849552, 8
5, plush leather chairs, 0.66296, 8
5, West Wing, 0.927122, 9
5, truly great place, 0.724316, 9
