rating,keyword,relevance,bucket
1, salty, 0.707812, 2
1, butter, 0.659288, 2
1, mins, 0.740009, 3
1, creamer, 0.708486, 3
1, toast, 0.933991, 4
1, strawberry, 0.609334, 6
1, grape, 0.58894, 6
3, Town Center Lounge, 0.874557, 0
3, North Las Vegas, 0.873637, 0
3, completely sealed window, 0.825131, 1
3, current management team, 0.798493, 1
3, Ultimate Chicken sandwich, 0.960773, 2
3, home depot, 0.571519, 2
3, standard bar food, 0.818168, 3
3, burgers, 0.369306, 3
3, dining room, 0.569717, 6
3, good food, 0.568372, 6
3, chicken Parmesan, 0.709666, 7
3, Good service, 0.563434, 7
3, nice cool place, 0.826994, 8
3, Caveman keno, 0.639128, 8
3, service staff, 0.543632, 9
4, TVs, 0.501478, 2
4, star, 0.447161, 3
4, food, 0.671715, 5
4, drinks, 0.920373, 6
4, service, 0.778903, 6
4, Euroupean beer, 0.959354, 7
4, beaten path, 0.924311, 7
4, atmosphere, 0.694692, 8
4, Good service, 0.685508, 8
