rating,keyword,relevance,bucket
2, tapas bar, 0.896662, 0
2, Sunday lunch, 0.870022, 0
2, hot wax, 0.807321, 1
2, new coat, 0.762344, 1
2, diameter mushrooms, 0.881391, 2
2, Rollo, 0.63075, 2
2, waitress, 0.65448, 3
2, seats, 0.41765, 3
2, opposite Scran, 0.918382, 6
2, new Raeburn, 0.886586, 6
2, new restaurant, 0.838278, 7
2, location, 0.413237, 7
3, haggis Bon bons, 0.902166, 0
3, small venue, 0.680039, 0
3, Stockbridge area, 0.647003, 2
3, new restaurants, 0.621294, 2
3, sat night, 0.756779, 3
3, wine, 0.342923, 3
3, tapas, 0.529768, 6
3, concept, 0.402949, 6
3, excellent quality, 0.668408, 7
3, Weekend, 0.3033, 7
3, pomegranate tabbouleh, 0.673357, 8
3, Yummy, 0.33266, 8
4, mango salsa, 0.585583, 0
4, dining option, 0.548333, 0
4, little restaurant, 0.548747, 3
4, Sunday afternoon lunch, 0.82821, 6
4, bon bons, 0.667329, 6
4, bon bon wine, 0.945736, 7
4, tuna steak, 0.907194, 7
4, course lunch, 0.581525, 8
4, butter beans, 0.552377, 8
4, leisurely meal, 0.566918, 9
4, fantastic place, 0.557544, 9
