rating,keyword,relevance,bucket
1, reviews, 0.568751, 1
1, place, 0.567483, 1
1, chicken wings, 0.969048, 2
1, feces, 0.752241, 2
2, female bartenders acts, 0.99605, 0
2, poor food runner, 0.82833, 0
2, bad mood, 0.658021, 1
2, utter crap, 0.636158, 1
2, w/this bartender, 0.72478, 2
2, crab legs, 0.677579, 2
2, great drive, 0.602883, 3
2, food selection, 0.569427, 3
2, way, 0.429699, 4
2, wings, 0.633497, 7
2, credit card, 0.611779, 7
2, excellent cider selection, 0.930475, 8
2, guy, 0.359911, 8
2, delicious bread bowl, 0.886144, 9
2, favorite beer, 0.587785, 9
3, night shift, 0.607329, 0
3, mug club, 0.582958, 0
3, downside, 0.456384, 1
3, grease, 0.443353, 1
3, bad service, 0.563058, 2
3, food prices, 0.559743, 2
3, dry rub wings, 0.918005, 3
3, little puddle, 0.591406, 3
3, beers, 0.477584, 4
3, local brews, 0.574499, 6
3, glorious wings, 0.741848, 7
3, beer selection, 0.568137, 7
3, Great burgers, 0.579901, 8
3, Excellent place, 0.559014, 8
3, medium bbq wings, 0.942746, 9
3, neighborhood bar atmosphere, 0.708835, 9
4, garlic parm wings, 0.802535, 0
4, honey Cajun wings, 0.791127, 0
4, divey sports bars, 0.593421, 1
4, neighborhood bar, 0.519752, 1
4, Sidelines wings, 0.837236, 2
4, community sports bar, 0.629874, 2
4, Sriracha hot wings, 0.806694, 3
4, wings flavors, 0.712364, 3
4, wings, 0.986058, 5
4, bar, 0.714163, 5
4, Got wings, 0.72928, 6
4, bar stools, 0.636442, 6
4, sidelines best wings, 0.879542, 7
4, honey BBQ wings, 0.81703, 7
4, MMMMM SOOOO GOOD, 0.614433, 8
4, crispy fried skin, 0.612196, 8
4, yummy wings, 0.739242, 9
4, great craft brews, 0.573825, 9
5, hot garlic BBQ, 0.786114, 0
5, world does word, 0.759323, 0
5, neighborhood sports bar, 0.757708, 1
5, burnt my mouth, 0.669175, 1
5, eyes water, 0.650526, 2
5, times my husband, 0.639926, 2
5, beg Sidelines Bar, 0.847018, 3
5, huge shandy fan, 0.787582, 3
5, place, 0.768918, 4
5, wings, 0.994155, 5
5, live sidelines Sidelines, 0.876355, 6
5, British IPA, 0.657109, 6
5, http://www.rawhogs.com/2013/07/17/the-hogs-beg-sidelines-bar-grill-to-serve-free-wings/ Best wings, 0.885135, 7
5, sirachi ranch sauce, 0.747519, 7
5, tht lovely goddess, 0.812768, 8
5, beer selection, 0.775673, 8
5, amazing beer selection, 0.770451, 9
5, lovely bartender, 0.685452, 9
