rating,keyword,relevance,bucket
3, early Friday evening, 0.776588, 0
3, decent American food, 0.769862, 0
3, doggy bag, 0.671536, 1
3, half, 0.526779, 1
3, Silian sandwich, 0.690574, 2
3, waiter, 0.595702, 2
3, sweet potato fries, 0.995985, 3
3, salad, 0.709538, 3
3, Perfect Pear, 0.852464, 6
3, cranberries, 0.537107, 6
3, grilled cheese sandwich, 0.816754, 7
3, bread, 0.529019, 7
3, Perfect Pear Bistro, 0.805053, 8
3, cider vinaigrette, 0.673316, 8
4, half size pasta, 0.901344, 0
4, Cute little place, 0.77332, 0
4, pears, 0.371826, 2
4, salty, 0.365987, 2
4, menu, 0.454811, 5
4, pesto linguine, 0.645443, 6
4, veggies, 0.372653, 6
4, chili cheese dip, 0.862365, 7
4, creamy mushroom Marsala, 0.859719, 7
4, deep rich flavor, 0.810857, 8
4, new local place, 0.769455, 8
5, grilled cheese section, 0.801934, 0
5, green pea salad, 0.746753, 0
5, heavy rotation, 0.641912, 1
5, dozen times, 0.636511, 1
5, live music, 0.765031, 3
5, little live music, 0.755418, 3
5, Shoe string fries, 0.726427, 6
5, service, 0.700781, 6
5, Gluten free pasta, 0.800342, 7
5, outdoor patio area, 0.78303, 7
5, mushroom Marcella pasta, 0.807413, 8
5, Chicken Marsala, 0.801079, 8
5, grilled cheese, 0.927951, 9
5, great play list, 0.818606, 9
