rating,keyword,relevance,bucket
1, Smh Smh Smh, 0.75431, 0
1, subpar bar food, 0.62404, 0
1, terrible service, 0.618186, 1
1, bad food, 0.608846, 1
1, chicken sandwich, 0.638719, 2
1, food order, 0.626843, 2
1, customer service, 0.640916, 3
1, NFL game, 0.621526, 3
1, service, 0.736566, 4
1, bartender, 0.628726, 4
1, twin peaks, 0.988361, 5
1, food, 0.842634, 5
1, drink order, 0.773164, 6
1, NFL fans, 0.631171, 6
1, good luck, 0.663425, 7
1, Good luck Twin, 0.616299, 7
1, good service, 0.626213, 8
1, Better tasting food, 0.624886, 8
1, great looking girl, 0.605435, 9
1, ha ha yep, 0.603617, 9
2, poblano chicken burger, 0.679185, 0
2, Buffalo Wild Wings, 0.649446, 0
2, kids menu food, 0.694301, 1
2, extremely cold beer, 0.665017, 1
2, pot roast, 0.662543, 2
2, Pulled Pork Nachos, 0.65735, 2
2, twin peaks, 0.747385, 3
2, ice cold beer, 0.669149, 3
2, food, 0.984574, 4
2, service, 0.82563, 5
2, beer, 0.79977, 5
2, venison chili burger, 0.81852, 6
2, place, 0.686401, 6
2, icy cold mugs, 0.647156, 7
2, bbq burger, 0.624461, 7
2, steak fries, 0.675245, 8
2, great fun, 0.609144, 8
2, great atmosphere, 0.677366, 9
2, girls best beer, 0.669951, 9
3, new neighborhood place, 0.461718, 0
3, fried pickles, 0.441648, 0
3, typical bar food, 0.45775, 1
3, customer service skills, 0.426686, 2
3, little tiny uniform, 0.415763, 2
3, chain sports bar, 0.435232, 3
3, decent meal skip, 0.42368, 3
3, food, 0.900918, 4
3, time, 0.518314, 4
3, place, 0.682023, 5
3, service, 0.544729, 5
3, twin peaks, 0.9902, 6
3, cold beer, 0.732038, 6
3, ice cold beer, 0.705486, 7
3, texas style, 0.550296, 7
3, good job, 0.49257, 8
3, good looking girl, 0.460652, 8
3, great place, 0.456636, 9
3, pretty girls, 0.424712, 9
4, pork sliders, 0.627603, 0
4, creepy friendly way, 0.614065, 0
4, green chile parmesan, 0.624258, 1
4, typical bar food, 0.7846, 2
4, bar food, 0.89442, 3
4, standard bar food, 0.663717, 3
4, chicken, 0.702817, 4
4, food, 0.985231, 5
4, place, 0.815089, 5
4, beer, 0.785956, 6
4, service, 0.710123, 6
4, Nice sports bar, 0.642956, 7
4, great food, 0.639828, 7
4, twin peaks, 0.857302, 8
4, ice cold beer, 0.679743, 8
4, great beer prices, 0.641694, 9
4, good server customer, 0.640909, 9
5, fish tacos, 0.737223, 0
5, breakfast tacos, 0.707948, 0
5, snow flurries ice, 0.701836, 1
5, Naughty Brunette, 0.613918, 2
5, beer selection, 0.635191, 3
5, bar food, 0.634507, 3
5, cold beer, 0.921011, 4
5, service, 0.721042, 4
5, place, 0.753399, 5
5, food cold beer, 0.767392, 6
5, Good hustle Adrian, 0.698208, 6
5, w/ beer cheese, 0.748809, 7
5, tacos, 0.738199, 7
5, flat screen tvs, 0.738147, 8
5, tap Great atmosphere, 0.731998, 8
5, great looking servers., 0.721832, 9
5, Fun sports bar, 0.702734, 9
