rating, keyword, relevance, bucket
2, mins, 0.39528, 0
2, flavors, 0.383705, 3
2, half, 0.36446, 3
2, hookah lounge ambiance, 0.985092, 6
2, pretty big group, 0.819962, 6
2, coals, 0.395458, 7
2, fries, 0.385172, 7
2, good music, 0.519243, 8
2, taste, 0.368245, 8
4, hookah kinda guy, 0.979722, 0
4, hookah lounges, 0.803234, 0
4, chill selection, 0.540856, 6
4, music selection, 0.494371, 6
4, better ones Ive, 0.931718, 7
4, location rocks, 0.526947, 7
4, wasnt smoke, 0.589112, 8
4, great ventilation, 0.553712, 8
4, Ambience, 0.217522, 9
5, Metro -Phoenix area, 0.362712, 0
5, high rating, 0.29687, 0
5, disappointment, 0.223019, 1
5, hookah lounges, 0.617198, 2
5, good hookah, 0.558789, 2
5, times, 0.235314, 4
5, hookah, 0.900441, 5
5, hose hookah, 0.528314, 6
5, Walked, 0.229188, 6
5, new hookah spot, 0.635688, 7
5, frequent hookah smoker, 0.586769, 7
5, Best hookah lounge, 0.630196, 8
5, skittles hookah, 0.555756, 8
5, best hookah, 0.796157, 9
5, gummy bear hookah, 0.647214, 9
