rating, keyword, relevance, bucket
1, clear injustice, 0.900429, 0
1, the.venue costs, 0.892537, 0
1, door money, 0.782426, 1
1, bands, 0.745579, 1
1, manager, 0.578559, 2
1, sound guy, 0.828587, 9
1, bartenders, 0.458267, 9
3, metal concert upstairs, 0.936117, 0
3, jug, 0.367564, 0
3, shit, 0.367839, 1
3, skate park, 0.666814, 3
3, Bar, 0.27021, 3
3, Amusing concept, 0.737599, 6
3, sofas, 0.333431, 6
3, bit more beers, 0.754889, 7
3, tap, 0.310655, 7
5, tall boy PBRs, 0.999534, 0
5, corn hihaaa, 0.825068, 0
5, Real fun joint, 0.943562, 7
5, ollie, 0.580118, 8
5, place, 0.458931, 8
