rating, keyword, relevance, bucket
1, fatty tuna sashimi, 0.911848, 0
1, crab pasta, 0.808466, 0
1, slight cough, 0.801831, 1
1, tasting menu, 0.757906, 1
1, main course, 0.786195, 2
1, lamb meatballs, 0.777671, 2
1, regular menu items, 0.885291, 3
1, crab cakes, 0.935136, 4
1, sauce, 0.708781, 6
1, birthday, 0.666964, 6
1, wonderful Napa valley, 0.954517, 7
1, carbonara pasta dish, 0.937172, 7
1, amazing meal.. nope, 0.958146, 8
1, lamb pasta, 0.807829, 8
1, freshly made pasta, 0.816614, 9
1, great place, 0.793675, 9
2, mineral-y white wine, 0.898232, 0
2, leather arm chairs, 0.888462, 0
2, service, 0.86829, 1
2, stripper pole, 0.807778, 1
2, Italian restaurant, 0.816694, 2
2, bad news, 0.80439, 2
2, stripper poles, 0.915211, 3
2, single stall bathroom, 0.871877, 3
2, food, 0.961183, 4
2, restaurant, 0.855683, 4
2, Cowboy Ciao, 0.990291, 5
2, scallops, 0.860456, 5
2, pancetta flavor, 0.815259, 6
2, black licorice, 0.905328, 7
2, extremely hard pancetta, 0.899341, 7
2, black licorice flavor, 0.878911, 8
2, great scallops, 0.838327, 8
3, Pretti Ugli, 0.941591, 0
3, panna cotta, 0.911827, 0
3, indie hipster crap, 0.891025, 1
3, best dish, 0.825325, 1
3, run-of-the-mill modern eatery, 0.915188, 2
3, Scottsdale poo danceclub, 0.894787, 2
3, boyfriends/husbands home hungry, 0.920066, 3
3, big carb person, 0.910698, 3
3, place, 0.897607, 4
3, good food, 0.972978, 5
3, waitress, 0.877024, 5
3, Wagyu beef, 0.983864, 6
3, Good music playing, 0.924421, 6
3, wine reduction sauce, 0.897618, 7
3, olive oil cake, 0.893196, 7
3, good natural flavor, 0.931406, 8
3, perfect nicoise salad, 0.919269, 8
3, coffee chiffon cheesecake, 0.911251, 9
3, girl smile, 0.819266, 9
4, True Food, 0.813816, 0
4, dessert portion size, 0.795284, 0
4, noise level, 0.792268, 1
4, heavy metal concert, 0.79098, 1
4, food porn collection, 0.812541, 2
4, previous Digestif visit, 0.794298, 2
4, late night offerings, 0.805791, 3
4, Yelp Eats menu, 0.79724, 3
4, wine list, 0.909013, 4
4, digestif, 0.844442, 4
4, place, 0.844948, 5
4, drinks, 0.789008, 5
4, food, 0.947897, 6
4, menu, 0.858038, 6
4, old town, 0.883294, 7
4, foie gras, 0.824419, 7
4, good food, 0.872165, 8
4, Chef Payton, 0.837713, 8
4, casual dress code, 0.853267, 9
5, Friday night buzz, 0.771864, 0
5, Niman Ranch pork, 0.769621, 0
5, main course, 0.833889, 2
5, Peters new place, 0.782518, 3
5, best main course, 0.781158, 3
5, digestif, 0.88619, 5
5, Chef Curry, 0.847899, 5
5, Payton Curry, 0.946233, 6
5, chef tracy dempsey, 0.850925, 6
5, night, 0.808619, 7
5, pastry chef Tracy, 0.800497, 7
5, New Years Eve, 0.795971, 8
5, great wine selection, 0.791916, 8
5, Chef Payton Curry, 0.872462, 9
5, great visionary CHEF, 0.813543, 9
