rating, keyword, relevance, bucket
1, free Ducks, 0.555802, 0
1, open air, 0.484357, 0
1, HARD OREGON DUCKS, 0.726992, 1
1, OREGON DUCKS BAR, 0.714255, 1
1, Dos Gringos, 0.51909, 2
1, entertainment device, 0.503613, 2
1, favor, 0.400455, 5
1, Big new tv, 0.626096, 7
1, fact, 0.337625, 7
1, great dive bar, 0.964058, 8
1, DUCK FAN, 0.485035, 8
1, wise, 0.341583, 9
1, Word, 0.335416, 9
2, decent service, 0.807573, 0
2, dive bar, 0.803167, 0
2, beer, 0.417053, 1
2, bartender, 0.664956, 2
2, tap, 0.421104, 2
2, cocktailing tables, 0.87842, 3
2, bouncer, 0.460506, 3
2, people, 0.415789, 4
2, restaurant, 0.415597, 4
2, regulars, 0.905417, 6
2, Friday night, 0.897565, 6
2, place, 0.556566, 7
2, new customers, 0.824372, 9
2, bartenders, 0.44144, 9
3, bladder buster deals, 0.863544, 0
3, ta tell, 0.723772, 0
3, youngest person, 0.681866, 1
3, pool stick, 0.624911, 1
3, incredibly cheap drinks, 0.896161, 2
3, Old Town bar, 0.861978, 2
3, Old Town, 0.931274, 3
3, typical Scottsdale vibe, 0.931058, 3
3, ta love, 0.663818, 6
3, dart board, 0.659525, 6
3, pool table, 0.860745, 7
3, suns game, 0.643114, 7
3, legendary patio, 0.639601, 8
3, solid misters, 0.626131, 8
4, local dive bar, 0.8486, 0
4, Good local place, 0.829323, 0
4, little neighborhood bar, 0.823208, 1
4, male transvestite school, 0.787421, 1
4, school bus driver, 0.9244, 2
4, new neighborhood bar, 0.872332, 2
4, bar exploration adventures, 0.843466, 3
4, tranny school bus, 0.787569, 3
4, bar, 0.992377, 4
4, Sunday mornings, 0.765041, 6
4, sports bar, 0.739267, 6
4, dive bar, 0.859451, 7
4, Great dive bar, 0.840308, 7
4, Great drink specials, 0.817771, 8
4, local Scottsdale residents, 0.810212, 8
4, staff great fans, 0.787652, 9
4, Great patio, 0.71822, 9
5, American Junkie, 0.782959, 0
5, south Scottsdale, 0.753421, 0
5, lame, 0.564269, 1
5, time, 0.540666, 1
5, douche, 0.546258, 2
5, dollar pitchers, 0.75863, 3
5, friendliest people, 0.75571, 3
5, Jenga, 0.566006, 6
5, Great dive bar, 0.992263, 7
5, old town, 0.953557, 7
5, Great bloody mary, 0.992389, 8
5, quaint nieghborhood bar, 0.989166, 8
5, great company, 0.753599, 9
