rating, keyword, relevance, bucket
1, single Vegan item, 0.867663, 0
1, chicken pot pie, 0.836971, 0
1, bust, 0.460507, 1
1, British Ladies group, 0.79412, 2
1, different pasties, 0.635294, 2
1, primary pasty Ogie, 0.9388, 3
1, legal measure, 0.648165, 3
1, pint, 0.54016, 4
1, lamb vindaloo, 0.63146, 7
1, bottle, 0.453284, 8
1, wine, 0.445638, 8
2, chicken alfredo, 0.873589, 0
2, oggie, 0.512182, 0
2, bad night, 0.903155, 1
2, kids menu, 0.786721, 1
2, place, 0.398737, 2
2, family, 0.398372, 2
2, foul mood, 0.879143, 3
2, feelings, 0.452825, 3
2, food, 0.604118, 7
3, Cheese Steak pasty, 0.703486, 0
3, Pasty Co. satisfies, 0.690888, 0
3, mushy peas, 0.473498, 1
3, nondescript storefront bar, 0.46859, 1
3, oven chips, 0.760002, 2
3, shady shopping centers, 0.44638, 2
3, different pasty, 0.8209, 3
3, garlic oven chips, 0.51556, 3
3, pasty, 0.966976, 4
3, Cornish Pasty Co., 0.832817, 4
3, Cornish Pasty, 0.869156, 5
3, place, 0.518164, 5
3, Italian Pasty, 0.674726, 6
3, mushroom walnut spinach, 0.619506, 6
3, garlic fries, 0.488189, 7
3, steak fries, 0.412845, 7
3, regular brown gravy, 0.477656, 8
3, shepherds pie version, 0.475939, 8
3, chunky baby food, 0.487179, 9
3, comfort food eating, 0.457701, 9
4, lamb vindaloo pasty, 0.328846, 0
4, part-baked pasty home, 0.322448, 0
4, dessert pasty, 0.323325, 1
4, adobada pasty, 0.292086, 1
4, vegetarian pasty, 0.351125, 2
4, pasty next time, 0.349738, 2
4, Tikka Massala Pasty, 0.399341, 3
4, baked pasty, 0.349641, 3
4, Cornish Pasty Co., 0.615266, 4
4, commercial center, 0.478561, 4
4, cornish pasty, 0.755464, 5
4, pasties, 0.369186, 5
4, red wine gravy, 0.902621, 6
4, PB&J pasty, 0.34361, 6
4, chicken tikka masala, 0.532859, 7
4, Philly Steak Pasty, 0.336667, 7
4, traditional pasty, 0.390516, 8
4, Cornish Pasty Company, 0.345164, 8
5, Cornish Pasty Co., 0.680892, 0
5, Lamb Vindaloo Pasty, 0.653181, 0
5, Cornish Pasty location, 0.654431, 1
5, little pasty, 0.600483, 1
5, pasty choices, 0.633324, 2
5, pie pasty, 0.632352, 2
5, Chicken Alfredo Pasty, 0.622129, 3
5, Greek pasty, 0.611028, 3
5, commercial center, 0.65388, 4
5, pasty, 0.97707, 5
5, Cornish Pasty, 0.918555, 5
5, Oggie pasty, 0.709059, 6
5, delicious pasty, 0.624256, 6
5, chicken pesto pasty, 0.626965, 7
5, banana bread beer, 0.561879, 7
5, beer selection, 0.724077, 8
5, steak pasty, 0.688912, 8
