rating, keyword, relevance, bucket
2, plastic stirrer, 0.542397, 0
2, Bel environnement, 0.530864, 0
2, abject shit, 0.613304, 1
2, whiskey, 0.325191, 1
2, overly inflated egos, 0.915821, 2
2, crappy bar tender, 0.780314, 2
2, straight answer, 0.487819, 3
2, beers, 0.298359, 4
2, beer list, 0.53794, 6
2, Great Environment, 0.447054, 6
2, space, 0.234801, 7
2, Thanks, 0.21454, 8
3, favorite bar, 0.709974, 2
3, strip, 0.374429, 2
3, large garage doors, 0.95035, 8
3, cozy feel, 0.842068, 8
5, welcoming greeting, 0.892396, 0
5, Guillaume, 0.622302, 0
5, door, 0.778988, 1
5, real food, 0.859688, 2
5, way, 0.413352, 2
5, place, 0.638176, 4
5, doubles, 0.42506, 6
5, tuesdays, 0.412005, 6
5, Jameson, 0.433679, 7
5, Mondays, 0.414417, 7
5, drink specials, 0.864326, 8
5, ambiance, 0.440126, 8
5, comfort zone, 0.928784, 9
5, live downtown, 0.927135, 9
