rating,keyword,relevance,bucket
1, drunk immature assholes, 0.810544, 0
1, legal night, 0.707014, 0
1, little hell hole, 0.815934, 1
1, experience SUCK, 0.678923, 1
1, wah wah wah, 0.902028, 2
1, right mixed drinks, 0.875271, 2
1, Steelers game, 0.866549, 3
1, bar food, 0.699511, 3
1, bar, 0.794998, 4
1, server, 0.566265, 5
1, BLT sandwiches, 0.687192, 6
1, mozzerella balls, 0.676841, 6
1, easy drinks, 0.722453, 7
1, vodka tonics, 0.698495, 7
2, Dwight K. Schrutte, 0.948082, 0
2, drunk sluts, 0.748143, 0
2, free Ebola injections, 0.933596, 1
2, standard greasy bar, 0.931818, 1
2, different people, 0.775281, 2
2, cigarette smoke, 0.76638, 2
2, regular basis, 0.767196, 3
2, CIGARS, 0.551839, 3
2, place, 0.748883, 4
2, time, 0.617861, 4
2, food, 0.629272, 5
2, Real World/Road Rules, 0.998583, 6
2, Mario, 0.85267, 6
2, Drink specials, 0.763231, 8
3, pretty big bar, 0.728842, 0
3, Blue Moon drafts, 0.644928, 0
3, *cough cough cough, 0.688646, 1
3, cheap Miller Lite, 0.659369, 1
3, decent bar, 0.598158, 2
3, good service, 0.586676, 2
3, tater tots, 0.924955, 3
3, southside bar, 0.819381, 3
3, bar, 0.830597, 5
3, Mario, 0.582219, 5
3, lounge gal, 0.533411, 6
3, Reasonable drink specials, 0.721061, 7
3, great drink specials, 0.693209, 7
3, good weeknight bar, 0.731481, 8
3, decent draft selection, 0.707839, 8
4, great night out., 0.768573, 0
4, price.  yummy nachos, 0.762231, 0
4, best college bar, 0.772269, 1
4, dead dive bar, 0.770231, 1
4, Fat Heads, 0.76845, 2
4, bar food, 0.72671, 2
4, Pitt-'Nova basketball game, 0.748691, 3
4, cow tipper, 0.723617, 3
4, mario, 0.859102, 4
4, bar, 0.933798, 5
4, place, 0.744504, 5
4, F. Dont order, 0.725523, 6
4, NYC Guidish term, 0.722082, 6
4, Blue Moon, 0.790393, 7
4, favorite local bar, 0.751384, 7
4, crown st. area, 0.725452, 8
4, New Haven, 0.722513, 8
4, absolute jumping crowd, 0.730418, 9
5, half price drinks, 0.962486, 0
5, Steeler Jeff Reed, 0.947739, 0
5, typical bar food, 0.91123, 3
5, cajun chicken sandwich, 0.909375, 3
5, mario, 0.914372, 5
5, 26th birthday, 0.781242, 6
5, Southside staple, 0.76979, 6
5, best spinach dip, 0.963862, 7
5, childhood friends, 0.793481, 7
5, South Side Saloon, 0.806217, 8
5, Awesome guy, 0.795921, 8
5, great local bar, 0.91177, 9
5, happy hour spot, 0.82345, 9
