rating,keyword,relevance,bucket
1, fried Naan bread, 0.967884, 0
1, Summer Squash Fondue, 0.918409, 0
1, menu concept, 0.697719, 1
1, place, 0.619928, 1
1, reasonably priced entrees, 0.922772, 2
1, pretzel bread, 0.753154, 2
1, Monday night, 0.7041, 3
1, Cold food, 0.699332, 3
1, restaurant business, 0.750366, 6
1, KFC quality, 0.713157, 6
1, appetizer, 0.552829, 7
1, flavored butters, 0.744976, 8
2, ala carte steak, 0.825226, 0
2, uneventful bread course, 0.824463, 0
2, bland canned tomato, 0.80094, 1
2, average dish, 0.708187, 1
2, crumpled legal size, 0.840477, 2
2, Halibut cheek, 0.818575, 2
2, ala carte, 0.975641, 3
2, Filet ala carte, 0.840832, 3
2, menu, 0.921398, 4
2, entrees, 0.56128, 4
2, hard crusty roll, 0.814494, 6
2, wine menu, 0.786225, 6
2, old Bloom, 0.842391, 7
2, old Bloom menu, 0.792605, 7
2, Overall inviting, 0.6912, 8
2, comfortable booth, 0.691132, 8
2, easy dish, 0.713112, 9
2, drinking opportunities, 0.647857, 9
3, -Nice serving sizes, 0.557539, 0
3, filet beef tenderloin, 0.541031, 0
3, s'more jar, 0.429981, 1
3, RW menu, 0.57407, 2
3, latest neighborhood addition, 0.566137, 2
3, hummus flat bread, 0.552767, 3
3, table, 0.462891, 3
3, plastic menus, 0.573058, 5
3, friends, 0.399861, 5
3, chilean sea bass, 0.526216, 6
3, Guinness ice cream, 0.516982, 6
3, prix fixe menu, 0.923637, 7
3, cheap floppy plastic, 0.549164, 7
3, seasoned crispy skin, 0.528677, 8
3, yummy wine, 0.454091, 8
3, delicious wine flights, 0.608823, 9
3, -Incredibly attentive busboys, 0.561951, 9
4, Maytag blue cheese, 0.827653, 0
4, lobster nicoise salad, 0.826241, 0
4, lounge area, 0.80507, 1
4, cask room Alas, 0.835677, 2
4, private dining room, 0.903921, 3
4, ounce flight menu, 0.82956, 3
4, Saturday night, 0.939741, 4
4, place, 0.943633, 5
4, pork belly, 0.880344, 5
4, sea bass, 0.861232, 6
4, *Beef brisket burger, 0.828487, 6
4, ahi tuna, 0.883392, 7
4, pear salad, 0.876854, 7
4, blue cheese, 0.894967, 8
4, food menu, 0.834503, 8
4, best blue cheese, 0.831282, 9
4, great service, 0.811192, 9
5, Red Crab Salad, 0.709559, 0
5, chain recipe food, 0.706924, 0
5, bar, 0.691631, 4
5, food, 0.922167, 5
5, restaurant, 0.721897, 5
5, cask, 0.831406, 6
5, wine, 0.820517, 6
5, pretzel bread, 0.849641, 7
5, pear salad, 0.80583, 7
5, service, 0.781277, 8
5, nice ecelctic menu, 0.737121, 8
5, great date night, 0.730364, 9
5, nice quiet dinner, 0.711882, 9
