rating, keyword, relevance, bucket
1, Absolutely terrible place, 0.855094, 0
1, cover charge, 0.804749, 0
1, UFC Jones vs, 0.911579, 1
1, food, 0.695871, 1
1, soggy disgusting bun, 0.797827, 2
1, waitress, 0.689407, 2
1, UFC nights, 0.633662, 3
1, time, 0.520303, 3
1, mcdonalds, 0.374441, 6
1, quality, 0.361207, 6
1, generous parking, 0.576215, 7
1, medium plus, 0.551957, 7
1, pretty good menu, 0.790719, 8
1, pretty easy task, 0.775391, 8
2, Friday Fish Fry, 0.985716, 0
2, tacos, 0.608123, 0
2, biggest complaint, 0.873108, 1
2, sports bar, 0.773374, 1
2, OTB, 0.569655, 6
2, TVs, 0.539683, 6
2, beer prices, 0.777129, 9
3, college town vibe, 0.918347, 0
3, good bar, 0.78864, 0
3, average neighborhood bar, 0.956209, 1
3, UFC fight, 0.724648, 1
3, cheap bar food, 0.977656, 2
3, cheap draft beer, 0.95016, 2
3, local bar, 0.742803, 3
3, bad rendition, 0.738194, 3
3, Track Betting, 0.731648, 6
3, pool table, 0.698082, 6
3, dive bar, 0.729063, 7
3, total dive, 0.707834, 7
3, Good beer prices, 0.968992, 8
3, pretty good time, 0.966376, 8
4, new purse, 0.589982, 0
4, salad dressings, 0.563542, 0
4, thats, 0.370331, 1
4, fault, 0.354061, 1
4, turkey avocado wrap, 0.827127, 2
4, negative thing, 0.54545, 2
4, McDuffies, 0.381199, 3
4, horses, 0.350661, 3
4, McDuffy, 0.461522, 4
4, coupon, 0.404743, 6
4, fun, 0.350601, 6
4, honey chipotle wings, 0.753566, 7
4, good service, 0.571837, 7
4, good food, 0.966947, 8
4, fairly good food, 0.7919, 8
4, added bonus, 0.55916, 9
4, happy hour menu, 0.557679, 9
5, chicken chimi, 0.478545, 0
5, big fights, 0.45101, 0
5, beer good food, 0.781532, 2
5, double decker sliders, 0.979223, 4
5, Sunday Ticket, 0.417362, 6
5, yummy, 0.269601, 7
5, Great food, 0.401038, 8
5, Yay, 0.202309, 8
5, zillion HD TV, 0.952756, 9
5, free shuttle service, 0.813406, 9
