rating, keyword, relevance, bucket
1, drink order, 0.840746, 0
1, waitress, 0.551915, 0
1, tasteless food, 0.886335, 1
1, Poor service, 0.9319, 2
1, food order, 0.631424, 3
1, that-rude customers, 0.759986, 6
3, Le Vieux Dublin, 0.765514, 0
3, qui n'a selon, 0.746605, 0
3, lone low point, 0.720844, 1
3, Irish coffee, 0.624439, 1
3, super memorable place, 0.810594, 2
3, staff tend, 0.640348, 2
3, worse places, 0.637886, 3
3, University crowd, 0.637037, 3
3, old dublin, 0.995552, 6
3, Ambiance bruillante et, 0.744631, 6
3, yummy hard cider, 0.784338, 7
3, pub, 0.776789, 7
3, spicy chicken curry, 0.788488, 8
3, posh condo complex, 0.749366, 8
3, Indian curries, 0.636117, 9
3, downtown core, 0.628103, 9
4, official Montreal flag, 0.735251, 0
4, West Coast beers, 0.725001, 0
4, old location, 0.7216, 1
4, Pittsburgh Steelers shirt, 0.72138, 1
4, je veux, 0.636018, 2
4, long conversation, 0.631093, 2
4, long time haven, 0.728621, 3
4, Old Dub, 0.728242, 3
4, bar, 0.656965, 4
4, Le Vieux Dublin, 0.924333, 6
4, irish pub, 0.845733, 6
4, great time, 0.800233, 7
4, classic Irish beers, 0.736243, 7
4, joyce burger, 0.731699, 8
4, great place, 0.682337, 8
5, entire section, 0.572729, 0
5, annual party, 0.564813, 0
5, entire night, 0.570173, 6
5, dedicated staff, 0.547922, 6
5, flat screen TVs, 0.732282, 7
5, Good food, 0.568824, 7
5, Le Vieux Dublin, 0.98756, 8
5, great ambiance, 0.594576, 8
5, Great place, 0.576118, 9
5, pint, 0.460573, 9
