rating,keyword,relevance,bucket
1, ticket mix-up, 0.750177, 0
1, block walk, 0.741787, 0
1, downright rude manner, 0.903714, 1
1, ill-mannered manager, 0.711566, 1
1, tasteless bolongaise sauce, 0.89462, 2
1, reservation time, 0.743122, 2
1, Union South, 0.860771, 3
1, neighbor table, 0.726496, 3
1, campus, 0.567831, 5
1, restaurant, 0.757116, 6
1, order, 0.543809, 6
1, nice lunch, 0.713539, 7
1, prospective student, 0.699029, 7
1, different sort, 0.706653, 8
2, w/pretzel ice cream, 0.803095, 0
2, brand ice cream, 0.801816, 0
2, ice cream, 0.923579, 1
2, Bananas Foster Creme, 0.780717, 1
2, pretzel ice cream, 0.816553, 2
2, foster creme, 0.808794, 2
2, corned beef, 0.792193, 3
2, Seared Beef Flat, 0.783983, 3
2, restaurant, 0.774913, 5
2, foster creme brulee, 0.7955, 6
2, hand cut noodles, 0.769982, 6
2, good salad option, 0.792859, 7
2, w/ spicy sausage, 0.778465, 7
2, new chef, 0.791518, 8
3, bread product, 0.819308, 0
3, biggest attraction, 0.805768, 0
3, table, 0.723184, 1
3, fine dining feeling, 0.973029, 2
3, terribly good service, 0.952288, 2
3, work-related lunch, 0.831607, 3
3, indistinct sauciness, 0.802386, 3
3, Steenbock, 0.772642, 5
3, extremely casual setting, 0.931804, 6
3, lunch service, 0.835075, 6
3, corgi bellyflop video, 0.955517, 7
3, magic touch screen, 0.941695, 7
3, swanky science mall, 0.985243, 8
3, good balance, 0.817375, 8
3, creamy coleslaw, 0.784357, 9
3, additional texture, 0.774973, 9
4, Union South, 0.876628, 0
4, Limited menu, 0.871916, 0
4, parking spot, 0.848897, 1
4, lower priced eateries, 0.964719, 3
4, regular menu, 0.876075, 3
4, hearty serving, 0.85596, 6
4, chocolate cake, 0.852873, 6
4, aka mashed potatoes, 0.995789, 7
4, Fantastic. capital F., 0.994372, 7
4, new glassy Wisconsin, 0.974169, 8
4, fresh fish dishes, 0.969119, 8
4, campus lunch/dinner place, 0.975139, 9
5, spicy-sweet-airy carrot cake, 0.836277, 0
5, salad w/ hazelnut, 0.830903, 0
5, little bit, 0.73649, 1
5, short order, 0.726625, 1
5, fine dining experiences, 0.815572, 2
5, house staff, 0.736066, 2
5, course menu, 0.729879, 3
5, parking sitch, 0.729443, 3
5, fine dining, 0.951706, 5
5, restaurant, 0.75336, 5
5, nicely flakey cod, 0.846, 6
5, Madison, 0.742918, 6
5, miso cod, 0.823863, 7
5, Bold statement time, 0.811143, 7
5, intense earthy-savoury tang, 0.828067, 8
5, fine dining establishment, 0.818831, 8
5, current dinner menu, 0.841947, 9
5, incredible culinary adventure, 0.808725, 9
