rating,keyword,relevance,bucket
1, tiny bottle, 0.962623, 0
1, Palms, 0.661214, 0
1, Total scumbag, 0.857046, 1
1, moment, 0.655546, 8
1, place, 0.482634, 8
3, Carpano Antica, 0.728651, 0
3, Carpano Antica Vermouth, 0.7075, 0
3, Bartender training, 0.61875, 1
3, cocktail execution, 0.549444, 1
3, Ciroc berry, 0.727259, 2
3, simple syrup, 0.565525, 2
3, drink order, 0.81167, 3
3, entrance/lobby. comfy chairs/booths., 0.680188, 3
3, bar staff, 0.554752, 4
3, comprehensive list, 0.552958, 4
3, drink, 0.932921, 5
3, Palms, 0.666022, 5
3, Borghetti Espresso Liqueur, 0.689463, 6
3, casino bar, 0.683668, 6
3, drink coupon, 0.704971, 7
3, newly refurbished casino, 0.688215, 7
3, gaming floor, 0.705871, 8
3, bustier clad bartenders, 0.694538, 8
3, great place, 0.546322, 9
4, upscale whiskey bar, 0.948007, 0
4, fig infused whiskey, 0.895144, 0
4, go-to bar, 0.54766, 1
4, coworkers, 0.352157, 1
4, style haze, 0.525266, 2
4, Las Vegas, 0.510306, 2
4, hotel bar, 0.525201, 3
4, shortcomings, 0.347233, 3
4, 2-for-1 drink coupons, 0.771311, 6
4, Palms, 0.61888, 6
4, Jim Beam tasting, 0.765007, 7
4, house specialty drinks, 0.756456, 7
4, type whiskey drink, 0.923592, 8
4, fantastic Old Fashioned, 0.682137, 8
4, nice Casino Bar, 0.701112, 9
4, great drink, 0.591854, 9
5, professional bartender, 0.581558, 0
5, Social Class, 0.547494, 0
5, cut black bustier, 0.774074, 3
5, 375-ml Grey Goose, 0.691411, 3
5, free drinks, 0.762154, 6
5, Sat/13 Jul, 0.602218, 6
5, favorite casino bar, 0.760713, 7
5, bourbon mojito, 0.595464, 7
5, Palms Hotel Casino, 0.973589, 8
5, Palms casino pit, 0.846878, 8
5, inventive signature cocktails, 0.760557, 9
5, casino floor., 0.665367, 9
