rating,keyword,relevance,bucket
1, co-worker sing, 0.729009, 0
1, late comers, 0.564716, 0
1, better sports bars, 0.916406, 1
1, karaoke host, 0.628038, 1
1, dance crap, 0.588673, 2
1, bar money, 0.523559, 2
1, wait staff, 0.622418, 3
2, Friday, 0.842034, 0
2, work, 0.730508, 0
2, beer, 0.980669, 1
2, dishwasher, 0.878811, 7
2, glass, 0.670266, 7
3, dingy little dive, 0.944932, 0
3, bar, 0.254912, 0
3, tvs, 0.38057, 1
3, area, 0.249821, 7
3, place, 0.248861, 7
3, regulars, 0.415339, 8
3, crowd, 0.383841, 8
4, Steelers bar, 0.773194, 2
4, unruly. great food, 0.941906, 7
4, great people, 0.498633, 7
5, biker friendly bar, 0.814079, 0
5, regular patrons, 0.65622, 0
5, go-to hang, 0.675062, 1
5, weak drink, 0.615656, 1
5, biker bar, 0.822678, 2
5, sports bar, 0.819296, 2
5, Sunday nights, 0.647193, 3
5, mixed drinks, 0.624795, 3
5, bar, 0.971687, 4
5, food, 0.641969, 5
5, Thursday, 0.491354, 5
5, Phili cheese steaks, 0.78531, 6
5, Charley, 0.677722, 6
5, big holidays, 0.655386, 7
5, great parties, 0.655311, 7
5, great place, 0.988039, 8
5, oldre crowd, 0.63564, 8
