rating,keyword,relevance,bucket
4, spacious plush couches, 0.955747, 0
4, Blue Moons, 0.891065, 0
4, elites, 0.299649, 2
4, times, 0.272944, 2
4, bar chairs, 0.572662, 3
4, booties, 0.310274, 3
4, bf, 0.442486, 5
4, crab cakes, 0.891082, 6
4, row seats, 0.617698, 6
4, HH pricing, 0.725876, 7
4, Stir Burger, 0.645827, 7
4, solid lounge, 0.65761, 8
5, counter space, 0.992631, 2
5, real bar, 0.883028, 2
5, notch items, 0.959018, 6
5, Kitchen menu, 0.85918, 6
5, especially Sarah, 0.918808, 7
5, bar tenders, 0.937485, 8
5, drinks, 0.558032, 8
