rating, keyword, relevance, bucket
1, ridiculous drink prices, 0.794044, 0
1, frigid Wisconsin night, 0.785116, 0
1, blood vessel explode, 0.798263, 1
1, in-town douche bags, 0.784582, 1
1, Typical college bar, 0.792314, 2
1, floor, 0.760365, 2
1, Wando, 0.793529, 3
1, drink selection, 0.677599, 3
1, place, 0.755124, 5
1, free bacon, 0.816642, 6
1, public worker salaries, 0.783999, 6
1, fish bowl, 0.916845, 7
1, Nike Boom Party, 0.796878, 7
2, coolest thing, 0.766637, 0
2, madison grads, 0.764697, 0
2, total college bar, 0.920046, 1
2, lame, 0.556478, 1
2, trashed white girls, 0.944388, 2
2, people, 0.78443, 2
2, old sorority/sorority-type girls, 0.957969, 3
2, big fan, 0.767416, 3
2, Wando, 0.862293, 5
2, sunday night, 0.772382, 6
2, off-State location, 0.753952, 6
2, Wando Burger, 0.84362, 7
2, little bit, 0.778708, 7
2, better choices, 0.745684, 8
2, fun night, 0.745188, 8
3, good drunken night, 0.820955, 0
3, ridiculously hard finance, 0.817032, 0
3, place kinda, 0.715275, 1
3, errant dart, 0.71243, 1
3, Wando, 0.780798, 2
3, college bar, 0.700393, 2
3, purple colored fishbowl, 0.817663, 3
3, Classic badger bar, 0.777281, 3
3, free bacon, 0.965269, 4
3, place, 0.81288, 4
3, jerky bouncers, 0.821315, 6
3, good place, 0.732823, 6
3, Coors Light, 0.807652, 7
3, dbag athlete friends, 0.778843, 7
3, bacon night, 0.926633, 8
3, Tuesday night, 0.816629, 8
4, INTERNATIONAL BACON, 0.449219, 0
4, full-sized fish bowl, 0.41374, 0
4, inappropriate facebook photos, 0.357991, 1
4, undergrad crowd, 0.308056, 1
4, bacon night, 0.605067, 2
4, Tuesday night special, 0.411418, 2
4, cheap fish bowl, 0.447334, 3
4, fish bowls, 0.39718, 3
4, fish bowl, 0.758864, 4
4, wando, 0.644328, 5
4, frat house jungle, 0.356584, 6
4, oldest processed meats, 0.347087, 6
4, free bacon, 0.90873, 7
4, dollar beers, 0.484159, 7
4, best friday fish, 0.382234, 8
4, classic Wisco hangout, 0.379599, 8
4, creative drink specials, 0.41234, 9
4, fun place, 0.39092, 9
5, Friday Fish Fry, 0.838997, 1
5, underage idiots, 0.578426, 3
5, great spot, 0.443379, 3
5, Kohl center events, 0.78996, 7
5, Free Bacon, 0.52242, 7
5, beer night, 0.450331, 8
5, FISH BOWL, 0.423846, 8
5, Absolutely fantastic food, 0.917845, 9
5, Wando burger, 0.677364, 9
