rating, keyword, relevance, bucket
1, poor customer service, 0.840989, 0
1, lousy sports bar, 0.829926, 0
1, customer service, 0.849968, 1
1, high pitched voices, 0.835787, 1
1, service, 0.913857, 2
1, food, 0.902547, 2
1, booth, 0.856669, 3
1, Bad wait staff, 0.832056, 3
1, place, 0.87025, 4
1, time, 0.806536, 5
1, ........, 0.80541, 6
1, Slowest place, 0.751729, 6
1, large sausage, 0.740651, 7
1, free speech, 0.73379, 7
1, great places, 0.739291, 8
1, great time, 0.731615, 8
1, sports pub-like atmosphere, 0.874379, 9
2, Buffalo Wild Wings, 0.839469, 0
2, better quality food, 0.779895, 0
2, Bad Service, 0.661833, 1
2, slider burgers, 0.629373, 1
2, drink orders, 0.777262, 2
2, Forgot drink orders, 0.753335, 2
2, food, 0.927649, 3
2, hard earned dollars, 0.769404, 3
2, pregnant girl, 0.6347, 4
2, big fan, 0.76939, 5
2, place, 0.737082, 5
2, New Yorker, 0.739039, 6
2, special event, 0.737795, 6
2, pretty big disapointment, 0.804469, 7
2, natives wings, 0.670377, 7
2, better places, 0.664429, 8
2, service professionals, 0.659886, 8
3, Buffalo Wild Wings, 0.684246, 0
3, bar food kind, 0.618118, 0
3, New Yorker joke, 0.569762, 1
3, service industry, 0.517479, 1
3, Native New Yorker, 0.961465, 2
3, artificial squeeze cheese, 0.601664, 2
3, giant tomato chunks, 0.581969, 3
3, service, 0.652763, 4
3, sports bar, 0.60089, 4
3, wings, 0.895091, 5
3, location, 0.508159, 5
3, pepper wings, 0.687835, 6
3, place, 0.543762, 6
3, pretty good sports, 0.628165, 7
3, good draft beer, 0.608276, 7
3, typical bar food, 0.79169, 8
3, pretty good bar, 0.674732, 8
4, strawberry hot wings, 0.772502, 0
4, BP slush fund, 0.636172, 0
4, Boo Native Puffs, 0.624345, 1
4, hot gravy sandwich, 0.600712, 1
4, Asian Garlic wings, 0.765748, 2
4, new wings, 0.680447, 2
4, lunch time, 0.510508, 3
4, wings, 0.994597, 5
4, food, 0.639427, 5
4, honey hot wings, 0.761062, 6
4, Good wings, 0.743859, 6
4, upcoming free wing, 0.611086, 7
4, good stuff, 0.559031, 7
4, delicious medium wings, 0.767005, 8
4, Crispy wings, 0.698084, 8
4, hone mustard wings, 0.808939, 9
4, great friendly service, 0.624268, 9
5, cents chicken wings, 0.884423, 0
5, odd flavor, 0.562215, 0
5, Forgot our waitress, 0.569478, 2
5, local places, 0.4912, 2
5, time, 0.332575, 4
5, strawberry hot wings, 0.912959, 6
5, chicken wings, 0.898198, 6
5, service, 0.628382, 7
5, Good wings, 0.583895, 7
5, Strawberry Shortcake drink, 0.803818, 8
5, good timing, 0.496226, 8
5, Excellent dining experience, 0.810245, 9
5, World Cup, 0.52787, 9
