rating, keyword, relevance, bucket
2, security checking, 0.653407, 0
2, PBR, 0.492636, 0
2, right lame, 0.720738, 2
2, neighborhood bar, 0.663083, 2
2, beer prices, 0.911239, 3
2, punk rock, 0.693223, 3
2, extra bucks, 0.696377, 6
2, door guy, 0.671787, 6
2, cool spot, 0.688519, 7
2, great idea, 0.687722, 7
2, friendly bartenders, 0.692251, 8
2, great kitchen, 0.64403, 8
3, Vegas dive bar, 0.600852, 0
3, fantastic Naked City, 0.566696, 0
3, Total bummer, 0.448768, 1
3, long bar area, 0.61241, 2
3, bar tab, 0.499294, 2
3, dive bar, 0.914084, 3
3, hard hat lounge, 0.822989, 3
3, Bobby Yang Unrivaled, 0.581217, 6
3, Tiny dance area, 0.539558, 6
3, Unrivaled Players, 0.593728, 7
3, good edm nights, 0.541868, 7
3, COOL OLD MURAL, 0.649764, 8
3, pool table, 0.446334, 8
3, yelp family, 0.598735, 9
3, YELP family Misti, 0.585382, 9
4, hear Bobby, 0.559384, 0
4, spicy chipotle, 0.557603, 0
4, Angeles mural painter, 0.702647, 1
4, single person, 0.550515, 1
4, dive bar, 0.77515, 2
4, bar to-do list, 0.692109, 2
4, place, 0.590383, 3
4, naked ladies, 0.539387, 3
4, Hard Hat, 0.667845, 4
4, bartender, 0.632501, 4
4, night, 0.540243, 5
4, b.s.-free dive, 0.568592, 6
4, lounge regulars, 0.554563, 6
4, Frank Bowers mural, 0.709027, 7
4, Hard Hat Lounge, 0.640657, 7
4, Unrivaled Players, 0.904038, 8
4, Bobby Yang, 0.878295, 8
4, great fiddle playing, 0.634326, 9
4, fun night, 0.534963, 9
5, absolute coolest thing, 0.9663, 0
5, dive bar downtown, 0.891518, 0
5, Heavy handed pours, 0.946876, 2
5, drinks department, 0.605116, 2
5, double hockey, 0.60655, 7
5, place, 0.455273, 7
5, Awesome diner food, 0.876054, 8
5, small budget, 0.553443, 8
5, Cool vibe, 0.612331, 9
