rating,keyword,relevance,bucket
1, starters, 0.360351, 0
1, Eat-n-Park, 0.262682, 0
1, bland chicken salad, 0.946821, 1
1, case, 0.259718, 3
1, restaurant, 0.258765, 3
1, different sign, 0.584346, 6
1, place, 0.320926, 6
1, selection fare,bad decor, 0.898309, 7
1, food, 0.319022, 7
3, high-end Joseph Tambellini, 0.921632, 0
3, buffalo chicken dip, 0.897965, 0
3, times, 0.56895, 1
3, bar food, 0.998983, 2
3, not-horrible-but-not-great bar food, 0.978039, 2
3, Shadyside charges, 0.746335, 3
3, prices, 0.581739, 3
3, Tavern, 0.946595, 5
3, Wall, 0.753588, 5
3, fried zucchini appetizer, 0.99201, 6
3, nice restaurant vibe, 0.92218, 6
3, legit dining destination, 0.932404, 7
3, great drink specials, 0.930713, 7
3, free live entertainment, 0.942589, 8
3, friendly staff, 0.742728, 8
3, different places, 0.770018, 9
4, quesadilla, 0.442362, 0
4, Good little place, 0.907702, 3
4, quick bite, 0.735644, 3
4, local business, 0.624767, 8
