rating,keyword,relevance,bucket
1, couple gay friends, 0.896586, 0
1, large employer, 0.700869, 0
1, pub crawl, 0.734864, 1
1, bar tender, 0.715196, 1
1, Best bartender, 0.830129, 2
1, group drank, 0.727843, 2
1, spike hair bartender, 0.977978, 6
1, art walk, 0.968888, 6
1, cool atmosphere, 0.725991, 7
2, forward pinot noir, 0.773894, 0
2, random straight dude, 0.770562, 0
2, store-bought artichoke dip, 0.787003, 1
2, gay bar, 0.724312, 1
2, bar, 0.964127, 2
2, hip hop, 0.80568, 2
2, Pei Wei, 0.92442, 3
2, chic bar kinda, 0.836018, 3
2, place, 0.963484, 4
2, bartender, 0.73547, 5
2, fun mixed crowd, 0.789841, 6
2, hip hop music, 0.770028, 6
2, white rabbit, 0.792071, 7
2, preferred bartender, 0.722753, 7
2, classy place, 0.748072, 8
2, good place, 0.715637, 8
2, great places, 0.704759, 9
3, olives root beer, 0.569609, 0
3, regular customers, 0.544369, 0
3, Thursday night, 0.492708, 1
3, feeling SideBar, 0.485418, 1
3, little bar waits, 0.534295, 2
3, melon liquor, 0.503858, 2
3, beer white russian, 0.575652, 3
3, root beer white, 0.569494, 3
3, bar, 0.751666, 4
3, root beer, 0.646655, 4
3, place, 0.904332, 5
3, sidebar, 0.656449, 5
3, drinks, 0.705601, 6
3, .ohhhhhhhhhhhhhh!'', 0.512741, 6
3, genuinely cool place, 0.551581, 8
3, central phoenix, 0.54055, 8
3, exclusive place, 0.503811, 9
3, great lounge style, 0.487504, 9
4, Cool little place, 0.623161, 0
4, Cool bar stools, 0.620183, 0
4, stumble home bar, 0.611506, 1
4, bar tenders, 0.582193, 1
4, casual-trendy-cool upstairs bar, 0.611361, 2
4, trendy downtown bar, 0.60512, 2
4, curvy white bar, 0.627444, 3
4, Bar several times, 0.588012, 3
4, time, 0.684315, 4
4, bar stools, 0.668559, 4
4, bar, 0.988031, 5
4, sidebar, 0.817559, 5
4, great vibe Sidebar, 0.659785, 6
4, drinks, 0.632983, 6
4, great time, 0.591902, 7
4, SideBar delivers, 0.586505, 7
4, beer selection, 0.718751, 8
4, GOOD beer selection, 0.602163, 8
4, friendly bar staff, 0.600195, 9
4, great place, 0.59771, 9
5, long time Sidebar, 0.657686, 0
5, nicest bar staff, 0.603777, 0
5, pretty small bar, 0.604065, 1
5, SideBar feels, 0.628805, 2
5, neighborhood bar, 0.610693, 2
5, Pei Wei, 0.736419, 4
5, white rabbit, 0.712835, 4
5, sidebar, 0.987028, 5
5, bar, 0.944428, 5
5, place, 0.867124, 6
5, great dive bar, 0.633853, 6
5, sidebar cocktails, 0.631284, 7
5, damn good drink, 0.60846, 7
5, great place, 0.647567, 8
5, great selection, 0.646865, 8
5, Friday night, 0.627788, 9
5, bar manager Jeff, 0.606302, 9
