rating,keyword,relevance,bucket
1, pool table area, 0.715709, 0
1, location. sorry amber., 0.697081, 0
1, worst local bars, 0.751392, 1
1, Long story shorty, 0.704536, 1
1, corned beef, 0.934109, 2
1, special group, 0.582829, 2
1, dark beer, 0.590758, 3
1, rare occasion, 0.569625, 3
1, place, 0.583583, 4
1, bartender, 0.522112, 5
1, TV, 0.471564, 5
1, Amazing corned beef, 0.734094, 6
1, cabbage dinner, 0.727782, 6
1, shoe insoles, 0.565292, 7
1, playing guests, 0.547297, 7
1, comfortable seating areas, 0.708926, 8
1, tip money, 0.564922, 8
2, rude/incompetent service people, 0.911592, 0
2, non strip establishment, 0.862202, 0
2, typical bar food, 0.962194, 1
2, poor service, 0.850079, 1
2, lack, 0.45765, 2
2, house, 0.457196, 2
2, service, 0.949473, 3
2, waiter, 0.532251, 4
2, Lodge service, 0.686126, 6
2, ventilation systems, 0.662071, 6
2, drinks, 0.634702, 7
2, burgers, 0.609366, 7
2, better burger, 0.704852, 8
3, tasty pasta dish, 0.881992, 0
3, Beer Batter Fish-N-Chips, 0.878942, 0
3, bar area, 0.816973, 1
3, live entertainment, 0.791948, 2
3, fast food restaurants, 0.893672, 3
3, video poker, 0.868105, 3
3, place, 0.932677, 4
3, bar, 0.918158, 5
3, fresh grated parmesan, 0.885212, 6
3, Good american diner, 0.867855, 6
3, creamy white sauce, 0.884097, 7
3, pool tables, 0.866422, 7
3, Cajun Penne Pasta, 0.890386, 8
3, heavy river rock, 0.858723, 8
3, nice feel, 0.851871, 9
3, gaming bar, 0.802829, 9
4, restaurant) areas., 0.910338, 0
4, dim lighting, 0.795831, 0
4, Las Vegas, 0.794168, 1
4, favorite bars, 0.777723, 1
4, super smokey, 0.772057, 2
4, Wednesday night, 0.768195, 2
4, screen high def, 0.950151, 3
4, little spicy, 0.761947, 3
4, menu, 0.705808, 4
4, Big loggy furniture, 0.91927, 6
4, chicken enchilada soup, 0.90241, 6
4, egg fried prefect, 0.902051, 7
4, grilled chicken salads, 0.898122, 7
4, plentiful seating, 0.786245, 8
4, good option, 0.770949, 8
4, strip late-night dining, 0.879879, 9
4, wonderfull place, 0.811392, 9
5, boy Chris Clay, 0.638359, 0
5, big buck hunter, 0.607341, 0
5, rustic bar, 0.574439, 2
5, local bars, 0.525225, 2
5, decent bar food, 0.728896, 3
5, standard menu items, 0.672856, 3
5, bar, 0.756834, 5
5, place, 0.669585, 5
5, bar poker machines, 0.66569, 6
5, musky smoke smell, 0.662077, 6
5, great service, 0.907097, 7
5, best friend, 0.54379, 7
5, late night steak, 0.616762, 8
5, great food, 0.587546, 8
5, different bottled beers, 0.62796, 9
5, great place, 0.615031, 9
