rating, keyword, relevance, bucket
1, new line cooks, 0.578422, 0
1, cooking oil daily, 0.576582, 0
1, dining room section, 0.560698, 1
1, sports bar choice, 0.552627, 1
1, waitress, 0.658048, 2
1, sports bar, 0.626998, 2
1, grilled chicken, 0.972737, 3
1, .WORST BAR/GRILL FOOD, 0.60138, 3
1, food, 0.707462, 4
1, manager, 0.583989, 4
1, time, 0.586486, 5
1, grilled chicken caeser, 0.77945, 6
1, chicken caeser  salad, 0.766872, 6
1, wing sauce, 0.634554, 7
1, chilled glass, 0.59412, 7
1, great time, 0.570793, 8
2, medium heat wings, 0.712327, 0
2, liquid type sauces, 0.663345, 0
2, Terrible beer selection, 0.696681, 1
2, Los Dos Molinos, 0.677335, 1
2, great little bar, 0.704334, 2
2, Onion Rings/Fries, 0.626707, 2
2, service, 0.785273, 3
2, fries, 0.744919, 3
2, food, 0.890045, 4
2, wings, 0.807948, 4
2, onion rings, 0.963917, 5
2, good beer, 0.646945, 5
2, Mushroom Swiss Burger, 0.695281, 6
2, Neapolitan ice cream, 0.664044, 6
2, BBQ Bacon burger, 0.698002, 8
2, Great burgers, 0.616026, 8
3, onion rings, 0.649157, 0
3, onion ring connoisseur, 0.632474, 0
3, chicken sandwich, 0.612776, 1
3, cutter family restaurant, 0.606628, 1
3, sports bar, 0.960027, 2
3, lime juice, 0.647341, 2
3, decent bar food, 0.698617, 3
3, typical sports bar, 0.647027, 3
3, food, 0.819797, 4
3, chicken wrap, 0.658679, 5
3, place, 0.589268, 5
3, water bottle, 0.61909, 6
3, Mushroom swiss burger, 0.635276, 7
3, baseball game, 0.619757, 7
3, chicken skewers, 0.66518, 8
3, BBQ sauce, 0.533986, 8
3, pretty good size, 0.623809, 9
4, divey sports bar, 0.683753, 0
4, hot wings, 0.671422, 0
4, good sports bar, 0.79428, 2
4, sports bars, 0.698354, 2
4, sports bar food, 0.74077, 3
4, sports bar scene, 0.690063, 3
4, place, 0.737585, 4
4, sports bar, 0.962197, 5
4, wings, 0.799989, 5
4, sweet potato chips, 0.691532, 6
4, dozen wings, 0.670734, 6
4, great sports bar, 0.708001, 7
4, best wings, 0.707757, 7
4, Golden Medium wings, 0.742276, 8
4, great place, 0.702036, 8
4, Greatest wings, 0.669195, 9
5, great bar food, 0.885807, 0
5, Ice cold beer..Mmmmm, 0.64007, 0
5, sports bar hands, 0.629565, 1
5, Best food, 0.541097, 1
5, sports bar, 0.730552, 2
5, Classic sports bar, 0.632132, 2
5, steak house people, 0.607357, 3
5, fried mozzarella, 0.531976, 3
5, place, 0.906556, 6
5, turkey burgers, 0.576349, 6
5, Good drink specials, 0.649916, 7
5, super affordable food, 0.630139, 7
5, great place, 0.877761, 8
5, great burgers, 0.703405, 8
5, great food, 0.643845, 9
5, happy hour place, 0.61582, 9
