rating, keyword, relevance, bucket
1, rough acknowledgment, 0.748132, 0
1, crap music, 0.721912, 0
1, PLAY DUCKLING BUCKS, 0.927675, 1
1, stomach bile, 0.791064, 1
1, target market, 0.664827, 2
1, barf, 0.44223, 3
2, backed-up toilet water, 0.792907, 0
2, Cochrane On Daniel, 0.589779, 0
2, dirty dirty bar, 0.914165, 1
2, broken glass, 0.485926, 1
2, underaged fratties, 0.486109, 2
2, Cochrane bar, 0.596917, 3
2, old napkins, 0.489499, 3
2, fun idea, 0.502644, 6
2, clap, 0.226268, 6
2, basketball players, 0.493582, 7
2, old girls, 0.448782, 7
4, half way, 0.931412, 1
4, actual bar, 0.834715, 1
4, campus bar, 0.757336, 2
4, bathrooms, 0.743304, 2
4, friend, 0.483743, 3
4, door, 0.471018, 3
