rating,keyword,relevance,bucket
1, thanks, 0.572782, 1
1, service, 0.433059, 1
1, food, 0.434888, 2
1, big game, 0.76974, 6
1, beverages, 0.55316, 6
1, decent place, 0.944349, 7
1, play pool, 0.780648, 7
2, pool tables, 0.931724, 0
2, air hockey, 0.876259, 0
2, crappy high school, 0.898289, 1
2, non-high school crowd, 0.884485, 1
2, Typical bar food, 0.880681, 2
2, drunk dirty boys, 0.853727, 2
2, dusty basement/garage/rec room, 0.878113, 3
2, cheap Red Stripes, 0.869769, 3
2, high school, 0.959736, 6
2, pool table, 0.801787, 6
2, nice little-hole-in-the-wall place, 0.874482, 7
2, loud.  cheap'ish food, 0.86762, 7
2, high school kids, 0.874564, 8
2, creepy old dude, 0.862688, 8
3, typical bar games, 0.671359, 0
3, place different stars, 0.669994, 0
3, big game nights, 0.661622, 1
3, ASU crowd, 0.719725, 2
3, general bar idiocy, 0.705457, 2
3, sports bar, 0.789572, 3
3, UA fan, 0.63078, 3
3, place, 0.845573, 4
3, bar, 0.83682, 4
3, food, 0.768183, 5
3, bar food, 0.717793, 5
3, air hockey, 0.74986, 6
3, ample pool tables, 0.6715, 6
3, pool tables, 0.964705, 7
3, better pool halls, 0.666401, 7
3, pretty good bottle, 0.715184, 8
3, pretty bitchin chicken, 0.685638, 8
3, good burger combo, 0.687997, 9
3, decent food, 0.62877, 9
4, bar type place, 0.793027, 0
4, good dive bars, 0.788202, 0
4, standard bar food, 0.785413, 1
4, good cell phone, 0.753601, 2
4, dive bar, 0.948932, 3
4, work bar time, 0.765769, 3
4, food, 0.955451, 4
4, shuffle board, 0.79751, 4
4, bar, 0.989015, 5
4, place, 0.97013, 5
4, local dive bar, 0.770025, 6
4, Saturday night, 0.765981, 6
4, pool tables, 0.957937, 7
4, big place, 0.807791, 7
4, great place, 0.853936, 8
4, pretty good place, 0.844832, 8
4, good place, 0.896277, 9
4, good beer prices, 0.771997, 9
5, ping pong, 0.770396, 0
5, Ohio State, 0.656218, 0
5, UFC good viewing, 0.748929, 2
5, best bar food, 0.709842, 2
5, UFC fights, 0.80467, 3
5, bar video games, 0.7153, 3
5, bar, 0.900855, 4
5, video games, 0.844496, 5
5, drinks, 0.739307, 5
5, pool tables, 0.836826, 6
5, good bar food, 0.747586, 6
5, good food, 0.70591, 7
5, Good place, 0.682819, 7
5, good prices, 0.720642, 8
5, great beer selection, 0.66092, 8
5, great place, 0.679339, 9
5, great food, 0.609472, 9
