rating, keyword, relevance, bucket
1, standard club fair, 0.989413, 0
1, lone female bartender, 0.973875, 0
1, so-called curry dipping, 0.964227, 1
1, Vegas dining experience, 0.964053, 1
1, rum jungle, 0.985032, 2
1, flabby man boobs, 0.962714, 2
1, food, 0.96892, 3
1, music, 0.932197, 3
1, place, 0.973542, 4
1, drinks, 0.980509, 5
1, recent Saturday afternoon, 0.962728, 6
1, replacement drinks, 0.920149, 6
1, completely different genre, 0.970826, 7
1, room dance floor, 0.967678, 7
1, Chill place, 0.90274, 8
1, Decent enough place, 0.953934, 9
1, free drinks, 0.930348, 9
2, pina colada, 0.824864, 0
2, red light/green light, 0.818059, 0
2, private dance floor, 0.820409, 1
2, Rascal Flatts, 0.819737, 1
2, country folks, 0.866969, 2
2, circus style ladies, 0.803429, 2
2, star cuz, 0.816052, 3
2, obscenely priced Old, 0.811575, 3
2, rum jungle, 0.980948, 4
2, place, 0.916276, 5
2, club, 0.866936, 5
2, brazilian bbq, 0.870117, 6
2, free drinks, 0.823794, 6
2, late night dessert, 0.822249, 7
2, male scans, 0.818747, 7
2, glamorous Vegas night, 0.830061, 8
2, night club, 0.790551, 8
2, nice reasonable place, 0.842574, 9
2, easy ice breaker, 0.814607, 9
3, rum drinks, 0.635683, 0
3, overpriced drinks, 0.632126, 0
3, flimsy drinks, 0.60098, 1
3, delicious drinks, 0.585358, 1
3, high school dance, 0.624378, 2
3, mandalay bay, 0.712518, 3
3, expensive drinks, 0.590628, 3
3, service, 0.613138, 4
3, table, 0.592872, 4
3, dance floor, 0.960335, 5
3, drinks, 0.951451, 5
3, rum jungle, 0.77407, 6
3, food, 0.709951, 6
3, pretty fun place, 0.658735, 7
3, good music, 0.636215, 7
3, pretty cool place, 0.640337, 8
3, good drinks, 0.62805, 8
3, original music mixes, 0.612576, 9
3, GREAT time dancing, 0.586921, 9
4, cuban black beans, 0.705994, 0
4, Rum drink, 0.705368, 0
4, Rum Jungle turn, 0.70201, 1
4, club bar thing, 0.696389, 1
4, cover charge, 0.705183, 2
4, rum fan, 0.68967, 2
4, meat, 0.792644, 3
4, largest rum bar, 0.724905, 3
4, Las Vegas, 0.743515, 4
4, restaurant, 0.730522, 4
4, place, 0.926304, 5
4, rum, 0.910317, 5
4, food, 0.781282, 6
4, night club, 0.742548, 6
4, extensive rum menu, 0.723736, 7
4, chicken, 0.714164, 7
4, great place, 0.726428, 8
4, pretty good deal, 0.699851, 8
4, fun party place, 0.708849, 9
4, pretty good selection, 0.692412, 9
5, RIP Rum Jungle, 0.564808, 0
5, kilo kai rum, 0.563309, 0
5, techno heart-attack shit, 0.506781, 1
5, ridiculously huge crowds, 0.5066, 2
5, random lost travel, 0.498499, 2
5, humungous rum-stocked bar, 0.513738, 3
5, Rum Jungle, 0.986325, 4
5, bar, 0.608469, 4
5, mandalay bay, 0.804984, 5
5, place, 0.625265, 5
5, vegas, 0.596536, 6
5, dance floor, 0.563749, 6
5, brazilian bbq, 0.5491, 7
5, damn good Mai, 0.515312, 7
5, absolute best meal, 0.522228, 8
5, drink menu, 0.515616, 8
5, worlds largest selection, 0.503061, 9
