rating,keyword,relevance,bucket
3, old vine tavern, 0.898786, 0
3, ........., 0.787832, 0
3, sour cream fries, 0.889482, 2
3, marginal fried mushrooms, 0.851657, 3
3, greasy chips, 0.6592, 3
3, slaw average wait, 0.881591, 6
3, good fries, 0.749991, 6
3, sweet potato fries, 0.901158, 7
3, cute wedding reception, 0.801622, 7
3, stars, 0.447476, 8
3, icy cold mugs, 0.861422, 9
3, Good luck, 0.647814, 9
4, snowbird season, 0.762631, 0
4, little noisy, 0.776772, 2
4, wings, 0.627813, 5
4, sour cream fries, 0.9615, 7
4, Excellent service, 0.805938, 9
