rating,keyword,relevance,bucket
1, security guard, 0.974347, 0
1, tough guy security, 0.895591, 0
1, horrible experience, 0.90491, 1
1, Gross. horrible experience, 0.891793, 1
1, drinking fancy cocktails, 0.8598, 2
1, friend, 0.85583, 2
1, ultra dive bar, 0.914266, 3
1, tough guy, 0.898882, 3
1, place, 0.942886, 4
1, girls, 0.828549, 4
1, impromptu go-go dancer, 0.868617, 6
1, people, 0.833495, 6
1, good afterhours club, 0.885496, 7
1, free passes, 0.807495, 7
1, different people, 0.809505, 9
2, beer pong game, 0.715105, 0
2, shitty sales tactic, 0.690664, 0
2, disappointing non-rock thing, 0.709853, 1
2, Hip hop, 0.703081, 1
2, beer pong, 0.933454, 2
2, whistles NON FREAKING, 0.704584, 2
2, early evening debauchery, 0.684931, 3
2, super large margaritas, 0.683647, 3
2, bartender girls, 0.840462, 4
2, guys, 0.672537, 4
2, vegas, 0.751463, 5
2, place, 0.687574, 5
2, imperial palace, 0.821277, 6
2, free drinks, 0.713539, 6
2, good time, 0.697063, 7
2, cute drinks, 0.630273, 7
2, oldschool vegas, 0.626629, 8
2, fruity drink, 0.628796, 9
3, little dive bar, 0.621694, 0
3, beer pong tables, 0.700966, 1
3, overpriced beer pong, 0.618175, 1
3, open bar, 0.643629, 2
3, cover, 0.636757, 2
3, sorta cheap drink, 0.623926, 3
3, dead night, 0.619557, 3
3, night, 0.804784, 4
3, beer pong, 0.780446, 4
3, place, 0.989072, 5
3, people, 0.72384, 5
3, imperial palace, 0.694477, 6
3, pretty good drinks, 0.676347, 6
3, music, 0.654887, 7
3, hip hop, 0.646762, 7
3, Shots Shots Shots, 0.712293, 8
3, great time, 0.605543, 8
3, Good early place, 0.652727, 9
3, pretty good deal, 0.630782, 9
4, beer pong game, 0.465961, 0
4, good size dance, 0.439781, 0
4, dance floor, 0.465589, 2
4, rockhouse bar, 0.457685, 2
4, beer pong tables, 0.591717, 3
4, good time, 0.585883, 3
4, vegas, 0.65683, 4
4, time, 0.615001, 4
4, beer pong, 0.967793, 5
4, bar, 0.585923, 5
4, place, 0.688731, 6
4, music, 0.528751, 6
4, place good music, 0.48709, 7
4, family playing beer, 0.411874, 7
4, great music, 0.475332, 8
4, great private bar, 0.424036, 8
4, all-around fun place, 0.425278, 9
5, Rockhouse guitar, 0.820507, 0
5, slutty mcslutterson workers, 0.808516, 0
5, Rockhouse Bar, 0.854385, 2
5, classier Vegas clubs, 0.794287, 2
5, huge drinks, 0.730915, 3
5, minimum bottle, 0.716131, 3
5, bottle, 0.716579, 4
5, Rockhouse, 0.974624, 5
5, people, 0.78932, 5
5, vegas, 0.924055, 6
5, place, 0.84508, 6
5, beer pong, 0.897216, 7
5, FREE BEER PONG, 0.79118, 7
5, good time, 0.969767, 8
5, awesome buzz. hahah, 0.807642, 8
5, new place, 0.710493, 9
5, casual scene, 0.704248, 9
