rating, keyword, relevance, bucket
1, total, 0.379829, 0
1, bartender, 0.337851, 0
1, numerous times, 0.601835, 1
1, mistake, 0.470051, 1
1, Manager, 0.350266, 3
1, credit card, 0.976051, 6
1, credit card statement, 0.861515, 6
1, early evening, 0.677061, 7
1, drinks, 0.322863, 7
3, crowd, 0.47873, 0
3, bull, 0.464281, 0
3, bars, 0.457635, 1
3, door, 0.454295, 1
3, kinda place, 0.74633, 2
3, scene, 0.450415, 2
3, decent drink specials, 0.900301, 6
3, weekends, 0.461756, 6
3, line dancing isnt, 0.836533, 7
3, dance floor, 0.673477, 7
3, nice perk, 0.739599, 8
3, counters, 0.46054, 8
3, fun time, 0.654377, 9
3, atmosphere, 0.460108, 9
4, mechanical bull, 0.656024, 0
4, better singer, 0.637061, 0
4, HATE CIGARETTES, 0.649523, 2
4, cigarette smoke, 0.627668, 2
4, self respect, 0.654162, 3
4, craft beer, 0.616414, 3
4, country music, 0.915801, 4
4, spirits shop, 0.673239, 6
4, late 20s, 0.666752, 6
4, Sr Citizens home, 0.874475, 7
4, Saddle Ridge, 0.673213, 7
