rating,keyword,relevance,bucket
1, kitchen, 0.502889, 1
1, food, 0.50251, 1
1, space Havana, 0.977326, 3
1, martini glass, 0.940213, 3
1, lemon martini, 0.974143, 6
1, wait, 0.553218, 6
1, honest review, 0.935081, 7
1, sweeter, 0.579676, 8
2, Limited seating, 0.998668, 0
2, bartender, 0.676817, 1
2, drink, 0.638913, 1
2, bar, 0.877776, 2
2, redbeards, 0.781734, 3
2, excuse, 0.684673, 3
2, cocktails, 0.692765, 7
3, cocktail tables, 0.680929, 0
3, finger foods, 0.675283, 0
3, awkward shrug, 0.776224, 1
3, dicey proposition, 0.719505, 1
3, power plugs, 0.66134, 2
3, cool addition, 0.656233, 2
3, trendy bar, 0.744993, 3
3, feeling, 0.390724, 3
3, Summit, 0.475059, 4
3, dive bar, 0.67675, 6
3, Yep, 0.411002, 6
3, garage door walls, 0.947087, 7
3, cohesive atmosphere, 0.739804, 7
3, great place, 0.618379, 8
3, drinks, 0.369577, 8
3, ambiance, 0.389179, 9
4, cider drink, 0.953769, 0
4, apple cider drink, 0.929076, 0
4, bar review, 0.824286, 1
4, little pricy, 0.804665, 1
4, soft-cushioned stools, 0.771472, 2
4, Summit, 0.661779, 2
4, slightly inferior cocktails, 0.984718, 3
4, cool craft-cocktail place, 0.89179, 3
4, Havanna, 0.706805, 4
4, music, 0.680767, 5
4, new neighborhood bar, 0.932099, 6
4, high ABV, 0.797569, 6
4, damn good Manhattan, 0.926895, 7
4, upper shelf liquors, 0.921806, 7
4, pretty unique drinks, 0.970346, 8
4, high end bar, 0.906645, 8
4, nice selection, 0.924693, 9
4, good way, 0.813301, 9
5, glass garage doors, 0.96775, 0
5, cocktail waitress, 0.815808, 0
5, avid bourbon drinker, 0.987367, 2
5, phone charger cords, 0.982244, 2
5, boring beers haha, 0.964528, 3
5, tits, 0.565052, 3
5, mixed drinks, 0.822199, 6
5, seasonal drink, 0.758599, 6
5, beer selection, 0.908076, 7
5, date night, 0.780717, 7
5, delicious drinks, 0.890401, 8
5, Awesome spot, 0.836793, 8
5, delicious cocktails, 0.824221, 9
5, creative drinks, 0.798572, 9
