rating, keyword, relevance, bucket
1, sub-par dish, 0.561562, 0
1, original order, 0.474666, 0
1, long time, 0.93692, 1
1, warm food,the guy, 0.84626, 1
1, place, 0.489966, 2
1, delivery guy, 0.457227, 2
1, garlic cheese bread, 0.883302, 3
1, veggie supreme, 0.865438, 3
1, large group, 0.531296, 6
1, reason, 0.201686, 6
1, pizza lovin town, 0.930023, 9
2, new york style, 0.853078, 0
2, Chicago-Style deep dish, 0.832885, 0
2, frat guy, 0.843926, 1
2, college frat guy, 0.832497, 1
2, wine glasses, 0.913449, 2
2, restaurant, 0.752789, 2
2, place, 0.773716, 3
2, different variations, 0.734726, 3
2, food, 0.958229, 4
2, delivery guy, 0.816346, 4
2, deep dish, 0.957927, 5
2, pizza, 0.930523, 5
2, young college girls, 0.830096, 6
2, primary customer base, 0.805088, 6
2, small margherita pizza, 0.843777, 7
2, potato skins, 0.829247, 7
2, gluten-free pizza, 0.837799, 8
2, cheesy crust, 0.731222, 9
3, restaurant, 0.557843, 0
3, waitress, 0.327526, 0
3, DirecTV signal, 0.91824, 1
3, TVs, 0.235918, 1
3, bathrooms, 0.246325, 3
3, pizzas, 0.702667, 6
3, place, 0.33035, 6
3, ideal temperature, 0.864321, 7
3, thermostat, 0.282265, 7
4, gluten-free pizza crust, 0.944925, 7
4, stars, 0.414076, 7
