rating, keyword, relevance, bucket
1, ridiculously poor service, 0.658929, 0
1, San Tan, 0.654486, 0
1, service, 0.722654, 1
1, bar, 0.674401, 1
1, debit card, 0.750504, 2
1, waitress, 0.738487, 2
1, single vegetarian item, 0.660109, 3
1, drinks, 0.65839, 3
1, place, 0.9789, 4
1, food, 0.868729, 4
1, beer, 0.626009, 5
1, friend, 0.620575, 5
1, friends, 0.609011, 6
1, authentic Irish meal, 0.64828, 7
1, great sign, 0.632555, 7
1, Irish Republic, 0.754593, 8
1, Saturday night, 0.649497, 8
2, irish pub, 0.593096, 0
2, head banger music, 0.531147, 0
2, friendly waitress, 0.552419, 1
2, boring old shopping, 0.530878, 1
2, bartender, 0.507117, 2
2, food poisoning, 0.499023, 2
2, san tan brewery, 0.747615, 3
2, Irish republic format, 0.529842, 3
2, food, 0.906042, 4
2, place, 0.652044, 4
2, irish republic, 0.602183, 5
2, service, 0.565002, 5
2, irish whiskey, 0.617794, 6
2, different food vendors, 0.556334, 6
2, sweet potato fries, 0.502569, 7
2, customer service, 0.524676, 8
2, great place, 0.492759, 8
3, good Irish place, 0.68034, 0
3, run-of-the-mill Irish pub, 0.609208, 0
3, normal bar crowd, 0.59621, 1
3, Irish Republic, 0.7231, 2
3, decent bar food, 0.633178, 2
3, standard Irish pub, 0.616976, 3
3, Place outshine Murphys, 0.612182, 3
3, downtown Chandler, 0.903451, 4
3, food, 0.805973, 4
3, service, 0.737885, 5
3, dollar bills, 0.650266, 5
3, irish pub, 0.799497, 6
3, place, 0.760835, 6
3, live music, 0.689979, 7
3, bread pudding, 0.651906, 7
3, good customer service, 0.64187, 8
3, San Tan Brewery, 0.624107, 8
3, solid beer selection, 0.663146, 9
3, good job, 0.617061, 9
4, real Irish pub, 0.635812, 0
4, Irish pub theme, 0.633512, 0
4, wannabe Irish pub, 0.645497, 1
4, typical Irish bar, 0.625875, 2
4, turkey avocado bites, 0.633237, 3
4, dollar bills, 0.623243, 3
4, bar, 0.688097, 4
4, atmosphere, 0.618453, 4
4, food, 0.810252, 5
4, irish pub, 0.769671, 5
4, place, 0.812973, 6
4, beer, 0.750574, 6
4, great place, 0.686864, 7
4, new Chandler downtown, 0.675084, 7
4, downtown chandler, 0.96126, 8
4, irish cheese dip, 0.744101, 8
4, beer selection, 0.691219, 9
4, good selection, 0.630126, 9
5, good drink specials, 0.787161, 0
5, different menu item, 0.742113, 0
5, best thing, 0.753274, 1
5, knee high socks, 0.751586, 1
5, Beer Cheese Pretzels, 0.77638, 2
5, San Marcos resort, 0.755628, 3
5, n't miss spot, 0.739371, 3
5, irish pub, 0.980656, 4
5, cheese dip, 0.761936, 5
5, Murphy, 0.7222, 5
5, Honolulu Irish pub, 0.778862, 6
5, real Irish Pub, 0.77372, 6
5, corned beef, 0.843804, 7
5, downtown chandler, 0.792909, 7
5, Irish Republic house, 0.860231, 8
5, great food, 0.769132, 8
5, pretty good beer, 0.77758, 9
5, awhile- great smile, 0.762237, 9
