rating, keyword, relevance, bucket
1, Vig uptown, 0.560511, 0
1, food safety class, 0.52511, 0
1, horrible service, 0.516951, 1
1, neat little package, 0.507534, 1
1, time, 0.590525, 2
1, food poisoning, 0.509319, 2
1, drinks, 0.526473, 3
1, check cashing parking, 0.4982, 3
1, service, 0.663252, 4
1, manager, 0.569087, 4
1, vig, 0.951324, 5
1, food, 0.781636, 5
1, place, 0.583386, 6
1, sweet potatoe fries, 0.494068, 6
1, fish taco salad, 0.495116, 7
1, Phoenix City Grill, 0.493342, 7
1, real good peeps, 0.52357, 8
1, good customer service, 0.5168, 8
2, Vig Rig guy, 0.797684, 0
2, worst customer service, 0.692878, 0
2, customer service, 0.697624, 1
2, bouchey ball. bummer, 0.676555, 1
2, check cashing place, 0.721932, 2
2, stone cold sober, 0.675145, 2
2, lacked service skills, 0.688875, 3
2, carne asada dish, 0.672318, 3
2, Vig, 0.998822, 4
2, food, 0.870287, 4
2, place, 0.894831, 5
2, service, 0.830895, 5
2, Vig Cobb salad, 0.787778, 6
2, average bar food, 0.703526, 6
2, Vig Rig, 0.832159, 7
2, sweet potato fries, 0.740545, 7
2, banana bread pudding, 0.716812, 8
2, Great service staff, 0.70515, 8
2, peppery Russian dressing, 0.677501, 9
3, old Vig, 0.531114, 0
3, vig rigg, 0.530328, 0
3, high faluti'n place, 0.489587, 1
3, payday loan place, 0.500844, 2
3, bit, 0.493474, 2
3, table, 0.543798, 3
3, artichoke dip, 0.488594, 3
3, grilled cheese, 0.554893, 4
3, bar, 0.546204, 4
3, place, 0.918016, 5
3, vig, 0.855218, 5
3, patio, 0.615264, 6
3, good time, 0.538846, 6
3, pretty good food, 0.558097, 7
3, vig rig, 0.526063, 7
3, sweet potato fries, 0.645011, 8
3, great place, 0.600607, 8
3, nice looking place, 0.514888, 9
3, great date ambiance, 0.492091, 9
4, Vig Rig, 0.68766, 0
4, Vig borders Arcadia, 0.675496, 0
4, vig parking, 0.666421, 2
4, bar food, 0.486194, 2
4, Vig Hater, 0.676736, 3
4, bocce ball, 0.780296, 4
4, night, 0.572444, 4
4, vig, 0.908999, 5
4, place, 0.741454, 5
4, people, 0.522956, 6
4, good bacon cheeseburger, 0.497135, 6
4, Vig Azz, 0.633575, 7
4, valet parking, 0.516477, 7
4, sweet potato fries, 0.757324, 8
4, damn good place, 0.543429, 8
4, ole dependable Vig, 0.666362, 9
4, yummy Vig tacos, 0.64572, 9
5, Gumbo Vig Vig, 0.785908, 0
5, Vig rocks, 0.570958, 0
5, Vig ass Burger, 0.586045, 1
5, Dear Vig Hater, 0.591481, 3
5, vig rings, 0.556033, 3
5, bocce ball, 0.522897, 4
5, bar, 0.46343, 4
5, vig, 0.90317, 5
5, patio, 0.547012, 5
5, place, 0.719739, 6
5, vig rig, 0.675186, 6
5, deconstructed fish tacos, 0.440384, 7
5, friends, 0.402495, 7
5, vig azz burger, 0.656356, 8
5, Vig offers, 0.593223, 8
5, great finger food, 0.430525, 9
5, good fresh food, 0.409317, 9
