rating, keyword, relevance, bucket
1, drove, 0.945596, 0
1, sign, 0.631889, 0
1, Station, 0.629216, 2
1, location, 0.641692, 3
2, opinion, 0.212927, 0
2, Thursday afternoon, 0.891573, 2
2, 2-for-1 specials, 0.947763, 6
2, Saturday nights, 0.780724, 6
2, drink specials, 0.838375, 7
2, French Fries, 0.836605, 7
3, juicy blackened chicken, 0.825409, 0
3, bottled cheaper domestics, 0.748605, 0
3, Del Taco, 0.719105, 1
3, ounces, 0.431677, 1
3, sceney ASU bar, 0.792668, 2
3, ragged bar stools, 0.7759, 2
3, pub grub sandwich, 0.847895, 3
3, longest time, 0.557411, 3
3, drinks, 0.401437, 4
3, Maloney, 0.423888, 5
3, beer bin girl, 0.719909, 6
3, star review, 0.54228, 6
3, monterey jack cheese, 0.747232, 7
3, college crowd, 0.686311, 7
3, fiji chicken sandwich, 0.992567, 8
3, nice outside area, 0.527024, 8
4, designer labels, 0.628369, 0
4, clothes, 0.38223, 0
4, times, 0.364724, 1
4, pretty good time, 0.918123, 2
4, Tempe bars, 0.784107, 2
4, society, 0.376518, 3
4, way, 0.376069, 3
4, young professionals, 0.670003, 6
4, Wrong. The Maloney, 0.685856, 7
4, reminder, 0.395946, 7
