rating, keyword, relevance, bucket
1, Game Hen wings, 0.739183, 0
1, pretty horrible experience, 0.681455, 0
1, service, 0.521234, 1
1, horrible attitude, 0.520823, 1
1, York pizza joint, 0.661929, 2
1, Pretty much blows, 0.505165, 2
1, food, 0.615533, 3
1, cigarette smoke, 0.501352, 3
1, Native New Yorker, 0.907002, 4
1, wings, 0.897257, 4
1, simple wings, 0.594908, 6
1, Ray Rd., 0.503465, 6
1, best wings, 0.65564, 7
1, 15 min, 0.509412, 7
2, Monday Night Football, 0.767673, 0
2, Cheap little franchisee, 0.697067, 0
2, absolute embarrassment, 0.532493, 1
2, friends, 0.347747, 2
2, Service, 0.34318, 2
2, liar, 0.359041, 3
2, establishments, 0.350163, 3
2, blue cheese, 0.956334, 5
2, extra celery, 0.591536, 6
2, order, 0.58508, 6
2, Chicken wings, 0.545865, 7
2, fair chance, 0.514971, 7
2, NNY stores, 0.51518, 9
3, New Yorker food, 0.596364, 0
3, Buffalo Wings, 0.528048, 0
3, excessively salty food, 0.528923, 1
3, bass sound, 0.463115, 1
3, class flat screens, 0.509652, 2
3, menu price, 0.47938, 2
3, excessively chubby manager, 0.52467, 3
3, different kinds, 0.509393, 3
3, New Yorker, 0.916398, 4
3, Native New Yorker, 0.792789, 4
3, New Yorker location, 0.590341, 6
3, Dusted chicken wings, 0.576992, 6
3, American food, 0.474677, 7
3, Gravy Sandwich, 0.472895, 7
3, New Yorker wings, 0.650816, 8
3, San Tan Brewing, 0.537639, 8
4, Tuesday night special, 0.778509, 0
4, vanilla ice cream, 0.722, 0
4, sports bar, 0.656039, 2
4, low key, 0.658215, 3
4, bad experience, 0.642201, 3
4, BCS Championship game, 0.763239, 6
4, chicken tenders, 0.744545, 6
4, NY'er cookie sundae, 0.733242, 7
4, granddaughter, 0.701164, 7
4, wings, 0.92207, 8
4, great wings, 0.832056, 8
4, compliments Native wings, 0.901331, 9
4, Thanks Native Great, 0.802823, 9
5, olive vodka, 0.633265, 0
5, Monday nights, 0.622956, 0
5, suck, 0.472471, 1
5, place, 0.440998, 1
5, drinks, 0.452087, 2
5, times, 0.439296, 2
5, traditional wings, 0.815948, 6
5, additional flavors, 0.628065, 6
5, Good drink specials, 0.819447, 7
5, chilli lime, 0.657969, 7
5, night karaoke hangout, 0.920664, 8
5, Great wings, 0.727649, 8
5, location, 0.438445, 9
