rating, keyword, relevance, bucket
1, même pas bons, 0.694351, 0
1, Une étoile, 0.46044, 0
1, geste commercial pour, 0.936925, 1
1, parce que je, 0.718403, 1
1, Nous avons, 0.620133, 2
1, nachos, 0.203033, 2
1, Nous n'y remettrons, 0.799129, 6
1, une autre place, 0.692127, 6
1, better cab ride, 0.636586, 7
1, Prime Time, 0.350344, 7
2, fois que je, 0.98633, 0
2, various sports teams, 0.905017, 0
2, little bit, 0.746275, 1
2, table, 0.646331, 1
2, debit cards, 0.896194, 2
2, chicken wings, 0.738977, 2
2, seating area, 0.745134, 3
2, female server, 0.743851, 3
2, friend, 0.725515, 4
2, service, 0.6936, 4
2, vraiment hâte que, 0.90899, 6
2, Ça m'a complètement, 0.875659, 6
2, haha, 0.634608, 7
2, uncleaned grill, 0.753695, 9
2, food, 0.645076, 9
3, l'ambiance est bonne, 0.953821, 0
3, la partie sur, 0.896282, 0
3, TV screens, 0.750844, 1
3, yuck, 0.642695, 1
3, kinda, 0.632411, 2
3, pain non grillé, 0.806563, 3
3, servi un burger, 0.751802, 3
3, sports bar, 0.981708, 5
3, Champs Burger, 0.936716, 6
3, sur St-Laurent pour, 0.927443, 6
3, non-stop sports action, 0.895912, 7
3, Champs several times, 0.883252, 7
3, funny friendly staff, 0.82754, 8
3, great place, 0.753717, 8
3, deep fried food, 0.842414, 9
3, St Laurent, 0.725945, 9
4, si ça commence, 0.970367, 0
4, Les prix sont, 0.916598, 0
4, UFC fights, 0.752169, 1
4, sports bar, 0.893265, 2
4, ordinary sports bar, 0.891922, 2
4, satellite receivers, 0.832346, 3
4, Bar Champs, 0.876088, 5
4, pas une décoration, 0.926367, 6
4, une seule place, 0.922458, 6
4, Great bar, 0.906286, 7
4, Good place, 0.751414, 7
4, favorite sporting event, 0.85894, 8
4, diehard European football, 0.851684, 8
4, friendly staff, 0.745834, 9
4, TV combo, 0.730707, 9
5, Coupe du monde, 0.920396, 0
5, eu le plaisir, 0.797378, 0
5, game, 0.457423, 2
5, best sports bars, 0.78177, 3
5, couch-like seating arrangement, 0.734735, 3
5, large HD projector, 0.797746, 6
5, Parfait comme endroit, 0.769515, 6
5, Bonne ambiance pendant, 0.77782, 7
5, matches importants, 0.621594, 7
5, Flyers fans, 0.598102, 8
5, nice spot, 0.584026, 8
5, Great food, 0.596167, 9
5, beer, 0.431009, 9
