rating, keyword, relevance, bucket
4, Blackberry Mojito, 0.847115, 0
4, Sin City, 0.776016, 0
4, Pricey, 0.577575, 3
4, Vegas experience, 0.65821, 7
4, best cranberry mojitos, 0.983722, 8
4, world, 0.355868, 8
5, REAL blackberries, 0.720149, 0
5, real mint, 0.703377, 0
5, syrupy soda cocktails, 0.958842, 2
5, casinos, 0.367749, 2
5, huge line, 0.59121, 3
5, quantity, 0.356325, 3
5, black dragon, 0.881186, 6
5, margaritas, 0.39677, 6
5, strong delicious drinks, 0.864099, 7
5, real lime, 0.686137, 7
5, bartender guy, 0.639869, 8
5, fantastic margarita, 0.63146, 8
5, friendly knowledgeable bartenders, 0.852788, 9
