rating, keyword, relevance, bucket
1, Creek Coffee Company, 0.953081, 0
1, bad impression, 0.760423, 0
1, bad mantra, 0.780862, 1
1, Bad management, 0.755959, 1
1, dead mouse parts, 0.863212, 2
1, rude treatment, 0.775978, 2
1, outlaw biker gang, 0.92414, 3
1, wear leathers, 0.723204, 3
1, Air Force vet, 0.918871, 4
1, great meeting spot, 0.899707, 6
1, area rides, 0.718024, 6
1, bluegrass band, 0.698589, 7
1, Jenifer, 0.552094, 7
1, buisness attitude, 0.72115, 8
1, Good luck, 0.719469, 8
2, Espresso machine, 0.771483, 0
2, reply, 0.4188, 0
2, double Espresso, 0.940614, 1
2, normal double Espresso, 0.892587, 1
2, coffee grounds, 0.675145, 3
2, heads, 0.402914, 3
2, latte, 0.475324, 6
3, Coffee, 0.61257, 0
3, food, 0.611754, 0
3, biker, 0.639283, 2
3, Songbirds Nest, 0.813336, 3
3, property, 0.607015, 6
3, little larger portion..I, 0.941477, 7
3, space, 0.608159, 7
5, non-dairy options, 0.614116, 0
5, mornings, 0.373952, 0
5, old place, 0.600327, 2
5, stories, 0.362669, 2
5, rumor bikers, 0.636872, 3
5, head, 0.354827, 3
5, gluten free options, 0.857461, 6
5, awesome,the baristas, 0.637095, 6
5, super cool place, 0.95714, 7
5, Awesome place,all, 0.694155, 7
5, conscious organic eaters, 0.857905, 8
5, multiple needs, 0.666246, 8
5, amazing spirituality, 0.64559, 9
5, Live music, 0.626885, 9
