rating, keyword, relevance, bucket
1, female bartender, 0.811047, 0
1, couple, 0.360575, 0
1, woman bartender, 0.92492, 1
1, customer service, 0.710376, 1
1, Vig, 0.407511, 3
1, times, 0.331107, 6
1, Thanks, 0.363062, 7
2, person max, 0.877075, 0
2, small size, 0.761028, 0
2, group, 0.490833, 1
2, friends, 0.29994, 1
2, Moscato, 0.361288, 2
2, drinks, 0.291544, 2
2, wine bar, 0.920265, 3
2, selection, 0.276918, 3
2, phenomenal reviews, 0.981408, 6
2, place, 0.660371, 6
3, private conversation, 0.769289, 0
3, Ok, 0.420157, 0
3, overcrowded train wagon, 0.990872, 1
3, big deal, 0.762107, 1
3, 5stars reviews, 0.815811, 2
3, bartenders, 0.426548, 3
3, lack, 0.401347, 3
3, food options, 0.79771, 4
3, unique place, 0.801224, 7
3, Friday night, 0.74898, 7
3, Great choice, 0.777841, 8
3, intimate date, 0.765535, 8
4, Great little bar, 0.68376, 0
4, old schools games, 0.637547, 0
4, old board games, 0.647844, 2
4, little cool games, 0.631818, 2
4, Whining Pig, 0.761937, 3
4, old school games, 0.729374, 3
4, beer, 0.814782, 4
4, bar, 0.765941, 4
4, place, 0.999658, 5
4, board games, 0.742433, 5
4, beers, 0.705538, 6
4, real estate lawyer, 0.693942, 6
4, craft beer, 0.705155, 7
4, friendly casual place, 0.703875, 7
4, great selection, 0.745059, 8
4, Great new place, 0.71181, 8
4, good place, 0.634364, 9
4, texaz grill, 0.628606, 9
5, Whining Pig, 0.640108, 3
5, trivial pursuit, 0.25755, 3
5, friends, 0.243452, 4
5, bar, 0.883906, 5
5, wine bar, 0.398274, 5
5, place, 0.939549, 6
5, wine, 0.788316, 6
5, Greg, 0.377227, 7
5, cheese plate, 0.37583, 7
5, great wine, 0.420706, 8
5, beer selection, 0.385535, 8
5, craft beers, 0.348873, 9
5, great selection, 0.328848, 9
