rating,keyword,relevance,bucket
1, Monte Carlo, 0.782345, 0
1, Rude Rude Rude, 0.742467, 0
1, Starbucks coffee, 0.790354, 1
1, 2ish.This starbucks, 0.781538, 1
1, knockoff Costco pastries, 0.71147, 2
1, crew.the register person, 0.667846, 2
1, drinking Starbucks, 0.786662, 3
1, favorite Starbucks, 0.786323, 3
1, starbucks, 0.924634, 4
1, order, 0.58573, 4
1, drinks, 0.564736, 5
1, cup, 0.56226, 5
1, young man, 0.607248, 6
1, baked goods, 0.606523, 6
1, sbx staff, 0.635126, 7
2, favorite drink, 0.535371, 0
2, black tea, 0.526035, 0
2, spoiled tea, 0.526488, 1
2, BIG MISTAKE, 0.514155, 1
2, wrong drink, 0.571981, 2
2, extra hands, 0.480694, 2
2, sons child cocoa, 0.667687, 3
2, Arnie Palmer, 0.501985, 3
2, gift cards, 0.658895, 4
2, food court, 0.904766, 6
2, childs hot cocoa, 0.683051, 6
2, peppermint mocha, 0.714671, 7
2, Monte Carlo, 0.698312, 7
2, brutal brutal line, 0.705186, 8
2, starbucks, 0.407019, 8
3, personal review, 0.567228, 0
3, Quick note, 0.536305, 0
3, slow service, 0.748015, 1
3, lackluster personalities, 0.577579, 1
3, Starbucks review, 0.679671, 2
3, long lines, 0.93127, 3
3, Starbucks card, 0.633289, 3
3, Vegas Strip businesses, 0.685267, 7
3, great service, 0.503674, 7
3, Cheers, 0.36855, 8
3, Merchandising, 0.359212, 8
4, tram station, 0.545718, 0
4, CityCenter Tram Station, 0.534665, 0
4, Starbucks Cards, 0.645854, 3
4, huge delay, 0.359246, 3
4, food court, 0.380037, 6
4, McDonald, 0.234285, 6
4, Monte Carlo, 0.740076, 7
4, standalone Starbucks, 0.689766, 7
4, small premium, 0.364371, 8
4, run, 0.228443, 8
4, nicest Starbucks locations, 0.908208, 9
4, Vegas, 0.258832, 9
5, bad experience, 0.689092, 1
5, Venti Iced Coffee., 0.902883, 7
5, free drink, 0.661618, 7
