rating, keyword, relevance, bucket
1, nort las vegas, 0.961182, 0
1, bighorn casino, 0.766859, 0
1, regular customers, 0.656953, 1
1, security staff, 0.629246, 1
1, surveillance videos, 0.662804, 2
1, wallet, 0.496546, 2
1, table, 0.29346, 3
1, regular basis, 0.642572, 7
1, valuables, 0.326111, 7
2, Big Horn Casino, 0.975987, 0
2, small neighborhood bar/diner/casino, 0.974274, 0
2, decent parking space, 0.934077, 1
2, Friday night, 0.727046, 1
2, server, 0.579539, 2
2, tables, 0.577771, 2
2, local gambling joint, 0.913186, 3
2, BF, 0.617478, 3
2, steak sauce, 0.747008, 6
2, limited number, 0.740618, 6
2, ultra low-price specials, 0.963247, 7
2, late-night post-drinks dining, 0.915697, 7
3, small order, 0.778723, 0
3, lasagna, 0.593577, 0
3, place, 0.623304, 1
3, review, 0.621, 1
3, gambling scene, 0.819418, 2
3, inch, 0.565875, 2
3, good food, 0.797047, 3
3, beer, 0.558751, 3
3, restaurant, 0.59412, 6
3, beers, 0.570774, 6
3, tomato basil soup, 0.952283, 7
3, Talk, 0.567066, 8
3, staff, 0.552695, 9
5, table games, 0.657379, 0
5, deal, 0.32554, 0
5, bar, 0.287816, 3
5, bucks, 0.471386, 4
5, New York steak, 0.925058, 7
5, gravy, 0.355648, 7
5, great visit, 0.662488, 8
5, place, 0.302393, 9
