rating, keyword, relevance, bucket
3, normal fresh mozzarella, 0.722201, 0
3, cheap crappy cheese, 0.701013, 0
3, crap cheese, 0.541751, 1
3, bad night, 0.44508, 1
3, extra mozzarella cheese, 0.785463, 2
3, yellowish grated cheese, 0.715508, 2
3, sauce, 0.341156, 3
3, crust, 0.340571, 3
3, cheese, 0.870163, 5
3, Burratta, 0.47173, 5
3, usual margherita pizza, 0.64391, 6
3, spinach, 0.347261, 6
3, fresh mozzarella, 0.982841, 7
3, quality cheese, 0.534057, 7
3, vibe, 0.342386, 8
3, time, 0.336188, 8
4, baked pasta, 0.847819, 0
4, smokers breath, 0.794208, 0
4, little extra parmesan, 0.919794, 1
4, oily sauce, 0.785186, 3
4, pizza joints, 0.7611, 4
4, freshly baked bread, 0.992883, 6
4, baked vegetable pesto, 0.992383, 6
4, flatbread, 0.925307, 7
4, margherita flatbread, 0.898823, 7
4, baked rigatoni, 0.99159, 8
4, young lady, 0.952923, 8
4, fresh baked bread, 0.973042, 9
4, au gratin potatoes, 0.954163, 9
5, flat bead pizza, 0.635779, 0
5, Central Ave. kitty-corner, 0.635256, 0
5, spicy flat bread, 0.626598, 2
5, flat bread, 0.69558, 3
5, Mozzarella flat bread, 0.648578, 4
5, place, 0.955659, 6
5, Phooooo nom minnn, 0.621691, 6
5, au gratin potatoes, 0.851733, 7
5, green chili, 0.695721, 7
5, great food, 0.787526, 8
5, great place, 0.695301, 8
5, neighborhood Great food, 0.697566, 9
5, quick work lunch, 0.630133, 9
