rating, keyword, relevance, bucket
2, Des arrêts d'autobus, 0.991219, 0
2, bière est pas, 0.959919, 0
2, qui ont pas, 0.945463, 3
2, Les Foufounes Électriques, 0.90771, 3
2, mais malheureusement la, 0.95385, 6
2, tous les jours, 0.927327, 6
3, vous rincer les, 0.893081, 0
3, tous les ingrédients, 0.882667, 0
3, que ça se, 0.835091, 1
3, dire que ça, 0.779848, 1
3, C'est pas, 0.716112, 2
3, et les bières, 0.903736, 3
3, Les bars, 0.791114, 3
3, tous les styles, 0.939393, 6
3, Les nombreux spéciaux, 0.852731, 6
4, que si tu, 0.842548, 0
4, dans tous les, 0.838167, 0
4, tiny little place, 0.857895, 1
4, cheap drinks, 0.826029, 2
4, foufounes electriques, 0.815425, 2
4, Western Bar fight, 0.825449, 3
4, Modern Punk-Destroy version, 0.811607, 3
4, place, 0.929171, 5
4, music, 0.810816, 5
4, great techno upstairs, 0.86234, 6
4, si tu, 0.8586, 6
4, pool tables, 0.813074, 7
4, funnest place, 0.809354, 7
4, great place, 0.853061, 8
4, GOOD UNDERGROUND Scene, 0.833564, 8
4, good place, 0.812592, 9
4, MTL punk sites, 0.809328, 9
5, absolutely gigantic spider, 0.91811, 0
5, fervant client durant, 0.844678, 0
5, d'en dire plus, 0.856205, 1
5, little woozy, 0.678629, 2
5, different areas, 0.675406, 2
5, biggest alternative pubs, 0.872155, 3
5, Habs fans, 0.718151, 3
5, place, 0.690572, 5
5, bouteille avant minuit, 0.852034, 6
5, super punk rock, 0.829544, 6
5, awesome graffiti, 0.756149, 7
5, Montreal, 0.729896, 7
5, cool iron sculptures, 0.831094, 8
5, Awesome music, 0.752223, 8
