rating, keyword, relevance, bucket
1, station des sports, 0.917638, 0
1, La Station Des, 0.81453, 0
1, restaurant bouncer, 0.757925, 1
1, rue Sainte-Catherine Ouest, 0.822389, 2
1, Cage Aux Sports, 0.815084, 2
1, sports station, 0.778443, 3
1, quand elle est, 0.755108, 3
1, elle est revenue, 0.862985, 4
1, restaurant, 0.849465, 5
1, milk shake, 0.813699, 6
1, totally different story, 0.807509, 6
1, customer rating sites, 0.806375, 7
2, Station des Sports, 0.874573, 0
2, Service effroyable alors, 0.858155, 0
2, good bloody ceaser, 0.877876, 1
2, old service, 0.787942, 1
2, la station, 0.930799, 2
2, cost pub food, 0.880259, 2
2, night Habs game, 0.845855, 3
2, directement sur la, 0.844374, 3
2, food, 0.930017, 4
2, sports bar, 0.893543, 4
2, beer, 0.820363, 5
2, steak poutine, 0.889849, 6
2, la seul raison, 0.855032, 6
2, good sports bar, 0.872096, 7
2, capable kitchen staff, 0.835793, 7
2, good burger, 0.806771, 8
2, good point, 0.805218, 8
2, real ounce, 0.785436, 9
2, Attentive staff, 0.783265, 9
3, typical bar food, 0.813661, 0
3, est la pompe, 0.794428, 0
3, drunken frat scene, 0.779491, 1
3, fried food items, 0.797934, 2
3, classic low prices, 0.759236, 2
3, drunken frat boys, 0.778173, 3
3, young inexperienced students, 0.750544, 3
3, food, 0.982098, 4
3, service, 0.712481, 4
3, time, 0.727664, 5
3, sur le menu, 0.774011, 6
3, Par contre je, 0.763133, 6
3, pub food, 0.795445, 7
3, CAGE AU SPORT, 0.76673, 7
3, sporting event, 0.860962, 8
3, best place, 0.703553, 8
4, Station des Sports, 0.909616, 0
4, des Sports est, 0.845156, 0
4, varioius bar games, 0.807687, 2
4, UFC fight, 0.798667, 2
4, flat TV screens, 0.811251, 3
4, big sport fan, 0.810479, 3
4, food, 0.81853, 5
4, et les nachos, 0.836217, 6
4, place, 0.835382, 6
4, c'est une brasserie, 0.820236, 7
4, une ambiance survoleté, 0.811463, 7
4, Folks nice place, 0.832335, 8
4, English speaking staff, 0.802486, 8
4, pretty diverse choice, 0.794216, 9
5, Best Sports Bar, 0.732406, 0
5, big sports night, 0.719371, 0
5, native New Yorker, 0.694993, 1
5, La Station, 0.56001, 1
5, sports bars, 0.686858, 2
5, TV. The menu, 0.552654, 2
5, pretty cheap price, 0.774047, 3
5, rowdy sports bar, 0.724002, 3
5, Montreal, 0.48606, 4
5, bartender, 0.472439, 4
5, sports bar, 0.935903, 5
5, food, 0.592798, 5
5, place, 0.849703, 6
5, 4L pitchers, 0.763894, 6
5, Great sports bar, 0.74292, 7
5, friendly bar staff, 0.708216, 7
5, bell centre, 0.717247, 8
5, best place, 0.709408, 8
5, great drinks, 0.558425, 9
5, Delicious foods, 0.553602, 9
