rating,keyword,relevance,bucket
1, milk, 0.716984, 0
1, bums, 0.7671, 1
1, druggies, 0.627665, 1
1, White Russian, 0.891524, 2
1, night, 0.636057, 2
1, scary place, 0.999105, 6
2, working class folk, 0.962239, 0
2, Tempe locals, 0.866612, 0
2, college hip-semi-hip  crowd, 0.976392, 1
2, remotely popular place, 0.968218, 1
2, late night booty, 0.996623, 2
2, part. cheap drinks, 0.996494, 2
2, longtime tempe dive.., 0.956159, 3
2, bar, 0.952165, 3
2, ironic band t-shirts, 0.968862, 6
2, bar rescue, 0.849055, 6
2, strong drinks, 0.875666, 7
2, pool tables, 0.86236, 7
2, resort option, 0.845255, 8
2, favorite thing, 0.83717, 8
2, friendly reservation crowd, 0.972577, 9
3, Broadway Road, 0.739271, 0
3, Scorpions VS Tarantula, 0.701144, 0
3, liquor store, 0.939046, 1
3, inevitable knife fight, 0.723412, 1
3, dirty dive bar, 0.763483, 2
3, old-school bar, 0.618132, 2
3, small dirt/cement area, 0.71299, 3
3, real dive, 0.701529, 3
3, bar staff, 0.58443, 6
3, pub crawl, 0.563163, 6
3, Palo Verde, 0.59307, 7
3, fun place, 0.587978, 7
3, bartenders, 0.488748, 8
3, heart-attack, 0.432532, 8
4, female dirty versions, 0.568239, 0
4, young jockish hooligans, 0.566509, 0
4, bout dress code, 0.538398, 1
4, Dirtiest Mop, 0.499664, 1
4, Dirty Verde, 0.6061, 2
4, PV, 0.568717, 2
4, party-  Hotel bar, 0.594004, 3
4, cheap stiff drinks, 0.593731, 3
4, Palo Verde, 0.904898, 4
4, bar, 0.652668, 5
4, Palo Verde Lounge, 0.731736, 6
4, dive bar, 0.6275, 6
4, live Iron Maiden, 0.544572, 7
4, Whiskey Tango crown, 0.537358, 7
4, true Dive Bar, 0.56294, 8
4, wallet chains, 0.484861, 8
4, great local bands, 0.548233, 9
4, small convenience store, 0.535205, 9
5, Point Dive Bars, 0.803836, 0
5, short drive East, 0.789449, 0
5, original bathroom graffiti, 0.764109, 1
5, go-to bar, 0.713024, 1
5, dive bar, 0.85987, 2
5, ultimate dive bar, 0.808917, 2
5, cheap drinks, 0.91753, 3
5, Dead Kennedy, 0.797804, 3
5, time, 0.765683, 4
5, pv, 0.95144, 5
5, place, 0.734069, 5
5, drinking double shots, 0.768193, 6
5, real music, 0.704068, 6
5, cheap beer, 0.816189, 7
5, couple great bands, 0.764522, 7
5, great bar, 0.787039, 8
5, great guy, 0.72461, 8
