rating, keyword, relevance, bucket
1, Inedible cardboard food, 0.992222, 1
1, local businesses, 0.636923, 2
1, scourge, 0.5333, 2
4, great pool player, 0.94086, 0
4, weekly basis, 0.701632, 0
4, normal time, 0.719152, 1
4, loss, 0.460069, 1
4, steep price, 0.72406, 2
4, times, 0.468319, 2
4, waffle fries, 0.742483, 3
4, hourly tables, 0.672156, 3
4, free dart boards, 0.913336, 6
4, Supreme Fries, 0.731332, 6
4, Juke box, 0.695788, 7
4, great place, 0.653937, 7
4, fairly decent selection, 0.960479, 8
4, beer, 0.739956, 8
4, great pool hall, 0.911843, 9
4, Cue Club, 0.696225, 9
5, Good food, 0.675569, 7
5, real pool hall, 0.94665, 8
5, reasonable prices, 0.785727, 8
5, cool place, 0.820093, 9
5, delicious food, 0.7393, 9
