rating,keyword,relevance,bucket
2, expensive latte, 0.946384, 0
2, Nutella latte, 0.857158, 0
2, shame, 0.31157, 1
2, Sambalatte, 0.279878, 1
2, staff member, 0.647777, 2
2, counter, 0.293357, 2
2, new barista, 0.720783, 3
2, half cup, 0.647299, 3
2, Las Vegas, 0.61415, 7
2, coffee cafe, 0.59573, 7
2, excellent coffee, 0.703458, 9
2, lattes, 0.366029, 9
3, mocha frozen frappe, 0.968825, 0
3, small drinks, 0.746971, 0
3, real coffee, 0.718879, 1
3, phone calls, 0.692677, 1
3, veggie fritata, 0.72582, 2
3, fave, 0.548049, 2
3, pre-made sandwiches, 0.726015, 3
3, price tag, 0.705709, 3
3, espresso, 0.576784, 4
3, white mocha latte, 0.987071, 6
3, regular old coffee, 0.883074, 6
3, brand new place, 0.913919, 7
3, great customer service, 0.882601, 7
3, outdoor seating area, 0.882827, 8
3, fresh air Sambalatte, 0.866428, 8
4, large iced latte, 0.616301, 0
4, large iced coffee, 0.605084, 0
4, coffee beverage, 0.470787, 1
4, pre work, 0.428648, 1
4, iced latte, 0.646544, 2
4, tiring walk, 0.436775, 2
4, Nutella latte, 0.510814, 3
4, Almond croissant, 0.462096, 3
4, coffee, 0.953271, 4
4, vegas, 0.440645, 4
4, ice nutella coffee, 0.674914, 6
4, SPECIFICALLY ice coffee, 0.603269, 6
4, nutella ice coffee, 0.80285, 7
4, coffee shop, 0.689998, 7
4, Monte Carlo, 0.991038, 8
4, pretty long coffee, 0.620698, 8
4, best coffee option, 0.592462, 9
4, new outdoor area, 0.566312, 9
5, better coffee place, 0.507904, 0
5, coffee shop worth, 0.500396, 0
5, Nutella desert, 0.472284, 1
5, Starbucks coffee, 0.453476, 1
5, apple turnover, 0.554084, 3
5, regular latte, 0.532971, 3
5, Monte Carlo, 0.883751, 4
5, place, 0.621776, 4
5, nutella latte, 0.992308, 5
5, coffee, 0.784058, 5
5, iced mocha latte, 0.570314, 6
5, coffee spot, 0.54437, 6
5, normal coffee shop, 0.476852, 7
5, blended drinks, 0.438323, 7
5, Las Vegas, 0.571875, 8
5, sugar free latte, 0.547455, 8
5, Nutella Soy Latte, 0.62931, 9
5, Early morning coffee, 0.481528, 9
