rating,keyword,relevance,bucket
1, pretty large group, 0.620529, 0
1, Buffalo Wild Wings, 0.581007, 0
1, terrible French Dip, 0.663704, 1
1, cigarette factory, 0.459048, 1
1, customer service town, 0.6527, 2
1, Las Vegas, 0.650274, 2
1, Friday night, 0.629604, 3
1, Emily, 0.543082, 3
1, customer service, 0.911269, 4
1, location, 0.581629, 5
1, waitresses, 0.387281, 5
1, customer service skills, 0.795635, 7
1, philly steak, 0.669297, 7
1, Philly Steak sandwich, 0.658072, 8
2, burger, 0.32534, 0
2, future, 0.281602, 0
2, absolutely horrible value, 0.954985, 1
2, twister fries, 0.673838, 1
2, late night drink/snack, 0.830193, 2
2, portion size, 0.622029, 2
2, shift change, 0.571451, 3
2, food, 0.422429, 3
2, multiple chances, 0.598676, 4
2, bartenders, 0.291165, 6
2, group, 0.274967, 6
2, pts chain, 0.677362, 8
2, hopes, 0.282886, 8
3, male bartender, 0.598886, 0
3, bar area, 0.462672, 0
3, bad attitude, 0.953043, 1
3, potential local return, 0.771669, 1
3, busy night, 0.469797, 6
3, friendly service, 0.401212, 8
4, normal bar foods, 0.833596, 0
4, fantasy football, 0.64562, 0
4, poker machines, 0.885038, 1
4, perfunctory poker machines, 0.848776, 1
4, sports bar, 0.862617, 2
4, Decent sports bar, 0.860607, 2
4, Friendly sexy waitresses, 0.914968, 3
4, Taverns, 0.460621, 3
4, bit, 0.497836, 4
4, huge chicken breasts, 0.837219, 6
4, sporting event, 0.65667, 6
4, chicken sandwich, 0.877209, 7
4, grilled chicken sandwich, 0.86267, 7
4, non gambling sections, 0.848283, 8
4, Friendly older crowd, 0.806681, 8
4, arrive, 0.447874, 9
4, Nice, 0.446451, 9
5, Blue Moon, 0.701503, 0
5, favorite bar, 0.684404, 0
5, wizard computer jerk, 0.660951, 1
5, late night cravings, 0.812349, 2
5, best PT, 0.746877, 2
5, Bar Tenders Jen, 0.849008, 4
5, Las Vegas, 0.985644, 5
5, good music, 0.704803, 6
5, new staff., 0.68384, 6
5, nice quiet bar, 0.861342, 7
5, golden tee, 0.829904, 7
5, good money, 0.712389, 8
5, good people, 0.702166, 8
5, best BBQ Chicken, 0.876342, 9
5, best food quality, 0.825188, 9
