rating,keyword,relevance,bucket
1, Expensive bar food, 0.706497, 0
1, local food critic, 0.676738, 0
1, shitty food, 0.676533, 1
1, horrible food, 0.657728, 1
1, chicken, 0.636441, 2
1, lime chicken salad, 0.627304, 2
1, buffalo wild wings, 0.71705, 3
1, waitress, 0.675647, 3
1, food, 0.98287, 4
1, place, 0.853957, 4
1, service, 0.861031, 5
1, time, 0.734298, 5
1, good sports bar, 0.637639, 6
1, spinach artichoke dip, 0.622019, 6
1, ........., 0.710888, 7
1, hard earn money, 0.632408, 7
1, time awesome burgers, 0.624052, 8
1, Monday burger special, 0.608119, 8
2, airport titty bar, 0.622928, 0
2, dozen medium wings, 0.552412, 0
2, decent sports bar, 0.581909, 1
2, time food, 0.551129, 1
2, sports bar, 0.695451, 2
2, par bar food, 0.615743, 2
2, wait staff, 0.575726, 3
2, new bar, 0.519591, 3
2, food, 0.975057, 4
2, beer, 0.86146, 4
2, bar, 0.744976, 5
2, place, 0.737093, 5
2, time, 0.603499, 6
2, free ride home, 0.571659, 6
2, nice big basket, 0.568261, 7
2, single enjoyable meal, 0.567765, 7
2, good street tacos, 0.588169, 8
2, bright neon clings, 0.579291, 8
2, nice outside patio, 0.504021, 9
3, night poker tourney, 0.703551, 0
3, cafeteria level food, 0.702094, 0
3, favorite local bar, 0.726672, 2
3, decent place, 0.628142, 2
3, flat screens, 0.720436, 3
3, high def sports, 0.708026, 3
3, food, 0.758875, 4
3, place, 0.672823, 5
3, regular fries, 0.778265, 6
3, deep fried mushrooms, 0.679715, 6
3, sweet potato fries, 0.941304, 7
3, hot dog, 0.823367, 7
3, good healthy strip, 0.71208, 8
3, good customer service, 0.710757, 8
3, good beer selection, 0.721805, 9
3, Sunday night, 0.718695, 9
4, best sports bar, 0.943463, 0
4, Power Ranch, 0.704614, 0
4, tasty Bloody Mary, 0.944447, 3
4, traditional bar food, 0.901372, 3
4, frequent Tailgaters, 0.741026, 4
4, UFC events, 0.723165, 4
4, non event, 0.694974, 6
4, Good drinks, 0.694299, 6
4, nice small bar, 0.954076, 7
4, outstanding choices, 0.714707, 7
4, best restaurant service, 0.875092, 8
4, Karaoke bar, 0.73677, 8
5, sports bar, 0.898103, 0
5, divey feel, 0.687392, 0
5, super cold, 0.640005, 1
5, meaty, 0.466425, 1
5, beer, 0.487369, 2
5, mark, 0.447853, 3
5, large glass door, 0.888506, 6
5, cheese curds, 0.696501, 6
5, cheeses curds, 0.738055, 7
5, ample space, 0.684719, 7
5, Thirsty Cactus, 0.673656, 8
5, Fantastic place, 0.664997, 8
5, favorite American food, 0.927643, 9
5, great place, 0.86788, 9
