rating, keyword, relevance, bucket
1, entertainment industry people, 0.745886, 0
1, great local place, 0.731201, 0
1, gang related activties, 0.809462, 1
1, Bar Rescue, 0.783172, 1
1, major big thumbs, 0.766127, 2
1, off-strip blues club, 0.756402, 2
1, cigarette smoking, 0.589685, 3
1, blues club, 0.958302, 4
1, music, 0.471705, 4
1, purple hooters, 0.603514, 6
1, scooby snacks, 0.601828, 6
1, great blues club, 0.790747, 7
1, human race, 0.616375, 7
1, new place, 0.583838, 8
1, high hopes, 0.5803, 8
2, entire time, 0.774798, 0
2, advice Taffer, 0.677484, 0
2, Bar Rescue, 0.816714, 1
2, people, 0.720155, 1
2, bar, 0.966731, 2
2, potential regulars, 0.663638, 2
2, cell phone, 0.818884, 3
2, Bikini Bar, 0.696856, 3
2, group, 0.574219, 5
2, checking facebook, 0.670759, 6
2, HH, 0.544961, 6
2, red carpet, 0.664697, 7
2, better place, 0.653824, 7
2, bartender Lisa, 0.696008, 8
2, happy hour spot, 0.673386, 8
2, fun environment, 0.655839, 9
2, Hopefully, 0.536941, 9
3, stop Bacon Bar, 0.632372, 0
3, Ballast Point Pale, 0.587796, 0
3, Sand Dollar, 0.606137, 1
3, hard earned dollars, 0.602376, 1
3, Pho Bosa, 0.808658, 2
3, Bar Rescue tour, 0.631875, 2
3, Bar Rescue, 0.983357, 3
3, Bosa action bar, 0.666109, 3
3, Saturday night, 0.57525, 4
3, live music, 0.595764, 5
3, band, 0.546672, 6
3, pool tables, 0.585433, 7
3, safer drink BEER, 0.579956, 7
3, new Bar, 0.555153, 8
3, best food, 0.507627, 8
4, Brothers deeper tracks, 0.943214, 0
4, beaten touristy areas, 0.939045, 0
4, touristy scene, 0.75631, 1
4, bikini bar, 0.725069, 1
4, video poker, 0.752391, 2
4, cover need, 0.732185, 2
4, Bar Rescue, 0.758469, 3
4, exotic drinks, 0.749456, 3
4, standard dive bar, 0.888886, 4
4, great dining opportunities, 0.882002, 6
4, Wednesday Night Jam, 0.874569, 6
4, pool tables, 0.919291, 7
4, friend, 0.591091, 7
4, great place, 0.88025, 8
4, good service, 0.717537, 8
4, Things, 0.540323, 9
5, Bar Rescue, 0.96623, 0
5, super touristy questions, 0.941427, 0
5, NIGHT PRO/AM JAM, 0.941601, 1
5, rat race, 0.777022, 2
5, touristy place, 0.718322, 2
5, speciality drinks, 0.859435, 3
5, gazillion questions, 0.737643, 3
5, video poker, 0.957066, 6
5, Awesome bar, 0.790674, 6
5, Great locals bar, 0.963522, 7
5, drinks, 0.919032, 7
5, great time, 0.794358, 8
5, open arms, 0.785683, 8
5, Pink Flamingo drink, 0.970475, 9
5, ginger beer drink, 0.968494, 9
