rating, keyword, relevance, bucket
1, female revue version, 0.891046, 0
1, great special deal, 0.847509, 0
1, low class bunch, 0.880281, 1
1, bitch mc, 0.69645, 1
1, small conference room, 0.904204, 2
1, Hooters Hotel, 0.886888, 2
1, great male revue, 0.855802, 3
1, monster mask, 0.829627, 3
1, guys, 0.841094, 4
1, men, 0.743278, 4
1, hand, 0.576345, 5
1, close glance, 0.685585, 6
1, end, 0.563553, 6
1, X-burlesque women, 0.709644, 7
1, live group, 0.688918, 7
1, Night Owl showroom, 0.896742, 8
1, lucky trolls, 0.731893, 8
3, half price tickets, 0.880308, 0
3, cheesy dances, 0.782611, 0
3, AWFUL fake penis, 0.904029, 1
3, ugly conference room, 0.900258, 1
3, FAKE NON-BELIEVABLE SOFA, 0.897829, 2
3, fake plants, 0.779596, 2
3, cheap beers, 0.762205, 3
3, awkward moments, 0.749346, 3
3, guys, 0.944265, 4
3, bachelorette, 0.867647, 5
3, right crowd, 0.761292, 6
3, banquet room, 0.746542, 6
3, great time anyways, 0.877454, 7
3, bachelorette party, 0.820207, 7
3, bigger shows, 0.754192, 8
3, good performers, 0.749908, 8
3, witty review, 0.744528, 9
4, older friend, 0.454141, 0
4, complimentary tickets, 0.442701, 0
4, little confusing, 0.418059, 1
4, drinks, 0.237145, 1
4, personal taste, 0.440942, 2
4, room setup, 0.411491, 2
4, Vegas getaway, 0.385983, 3
4, stage, 0.291047, 3
4, stars, 0.232226, 6
4, dancers, 0.221616, 6
4, male revue, 0.925726, 7
4, best male revue, 0.774768, 7
4, bachelorette party, 0.431198, 8
4, HAHA, 0.394851, 8
5, Janice Dickinson model, 0.749874, 0
5, audience participation, 0.458242, 0
5, underwear, 0.256277, 2
5, dollar, 0.255223, 2
5, cheap VIP tickets, 0.748334, 3
5, Tarzans banana, 0.491349, 3
5, girls, 0.498415, 4
5, VIP tickets, 0.825816, 5
5, good time, 0.687321, 6
5, girlfriends, 0.342544, 6
5, male review, 0.95206, 7
5, free rhinestone panties, 0.807033, 7
5, great time, 0.648693, 8
5, lap dance/show, 0.551911, 8
5, life time experience, 0.651443, 9
5, VIP package, 0.560113, 9
