rating,keyword,relevance,bucket
1, Metro Bus Stop, 0.833036, 0
1, Dr. Seuss book, 0.824538, 0
1, Sucker Punch Sally, 0.861735, 1
1, steak knifes, 0.800845, 1
1, quesadilla, 0.761869, 2
1, deep dish, 0.725499, 2
1, steak sandwich, 0.92522, 3
1, place, 0.90194, 3
1, food, 0.944198, 5
1, Bros style sandwich, 0.849168, 6
1, Born Free, 0.733184, 6
1, high quality food, 0.852761, 7
1, single pizza slice, 0.829883, 7
3, Sucker Punch Sally, 0.908471, 0
3, grilled cheese, 0.900245, 0
3, hand cut fries, 0.775976, 1
3, time, 0.255648, 1
3, flat screens, 0.524933, 2
3, tomato, 0.352938, 3
3, bacon, 0.347131, 3
3, food, 0.359299, 5
3, new colors, 0.515687, 6
3, poker nights, 0.490885, 6
3, TV. The pizza, 0.483691, 7
3, tact, 0.281692, 7
3, specials good place, 0.695593, 8
3, ASU game, 0.49508, 8
4, main sidewalk crowd, 0.89903, 0
4, specialty burger, 0.78636, 0
4, Overstuffed Sandwich, 0.762241, 1
4, campus bar, 0.781691, 2
4, DiVerti Bar, 0.776706, 2
4, cement floor, 0.772468, 3
4, corned beef, 0.772444, 3
4, live music, 0.789226, 6
4, cold ones, 0.758965, 6
4, Sucker Punch diner, 0.955007, 7
4, Pretty average decor, 0.923705, 7
4, Super casual atmosphere, 0.937547, 8
4, excellent drink specials, 0.934718, 8
4, great location, 0.783699, 9
4, sporting event, 0.767378, 9
5, open mic night, 0.89144, 0
5, especially college students, 0.880048, 0
5, corned beef, 0.770071, 1
5, Woo Hooo, 0.767424, 2
5, sandwich, 0.765978, 2
5, wrong meat, 0.76813, 3
5, excellent area, 0.745808, 3
5, sunday, 0.678224, 5
5, times, 0.660654, 5
5, Promenti Bros experience, 0.912863, 6
5, couple dart boards, 0.879004, 6
5, good food, 0.930215, 7
5, budlight draft special, 0.892431, 7
5, POTATO TATER TOTS, 0.929698, 8
5, good drink specials, 0.909154, 8
5, Good atmosphere, 0.830632, 9
5, comfortable place, 0.787894, 9
