rating,keyword,relevance,bucket
4, Le menu est, 0.908847, 0
4, essayez les tacos, 0.888585, 0
4, horrendous experience, 0.653653, 1
4, Benelux, 0.452494, 1
4, Island Iced Tea, 0.775559, 2
4, Nun, 0.445614, 2
4, sous le charme, 0.95055, 6
4, personnel hyper gentil, 0.803533, 6
4, quoiqu'un peu cher, 0.812692, 7
4, unconventional French onion, 0.775543, 7
4, awesome decision, 0.659881, 8
4, decor, 0.434185, 8
4, calm vibe, 0.631332, 9
4, nice time, 0.620965, 9
5, invitant et prix, 0.936013, 0
5, fish tacos, 0.845051, 0
5, bloody caesar, 0.73312, 2
5, Balconville, 0.573233, 2
5, personal scale, 0.71414, 3
5, Yelp, 0.570821, 3
5, cold draft, 0.707182, 4
5, old houses, 0.705479, 4
5, Une elle découverte, 0.981266, 6
5, Super service, 0.73363, 6
5, perfect little spot, 0.970375, 7
5, beef burger, 0.762617, 7
5, Adorable tiny gastropub, 0.953596, 8
5, healthy fresh dinner, 0.896243, 8
5, cozy terrace, 0.778453, 9
