rating, keyword, relevance, bucket
1, bit, 0.701614, 1
1, world, 0.617809, 1
1, bother, 0.784644, 2
1, bartender, 0.779328, 3
1, ass, 0.743704, 3
1, gay community, 0.965749, 6
1, racism, 0.72289, 6
2, crowd, 0.562302, 0
2, night, 0.516295, 0
2, come-as-you-are kind, 0.901374, 2
2, positive parts, 0.876574, 2
2, gay bars, 0.855081, 3
2, long time, 0.849824, 3
2, bartenders, 0.581137, 6
2, cocktails, 0.556451, 7
2, place, 0.515074, 7
3, BEST tenderloin sandwich, 0.55215, 0
3, traditionally masculine guy, 0.510487, 0
3, gay bar, 0.359198, 1
3, ta drive, 0.306085, 1
3, cheap drinks, 0.955348, 2
3, dive bar, 0.652714, 3
3, leather gear, 0.311257, 3
3, place, 0.37808, 5
3, locals, 0.257193, 5
3, blue collar types, 0.508614, 6
3, Hot guys, 0.312461, 6
3, FUN HOG RANCH, 0.486989, 7
3, good time, 0.459925, 7
3, friendly bartenders, 0.580646, 8
3, friendly relaxed air, 0.496062, 8
3, attentive bartenders, 0.408635, 9
3, good company, 0.30478, 9
4, good dive bar, 0.760144, 0
4, kick ass cocktail, 0.741929, 0
4, neighborhood bar feel, 0.769067, 1
4, bomb ass jukebox, 0.726782, 1
4, Annual Dive Bar, 0.757082, 2
4, average Vegas bar, 0.754909, 2
4, cheap drinks, 0.879361, 3
4, favorite gay bars, 0.731607, 3
4, dive bar, 0.909697, 4
4, great dive bar, 0.781233, 6
4, daily special Stopped, 0.733032, 6
4, Cool dive bar, 0.747585, 7
4, heavy handed pours, 0.738603, 7
4, Fun Hog Ranch, 0.968689, 8
4, fun gay bar, 0.803461, 8
4, economically friendly drink, 0.768228, 9
4, fun place, 0.688675, 9
5, HUGE Blue Moons, 0.518981, 0
5, hot bartenders, 0.49407, 0
5, Sahara slum gayborhood, 0.528753, 1
5, Los Angeles, 0.427371, 1
5, inexpensive neighborhood bar, 0.553148, 3
5, normal Vegas tourist, 0.524945, 3
5, fancy club, 0.498288, 4
5, cheap drinks, 0.769624, 5
5, vegas, 0.54959, 5
5, ........., 0.970648, 6
5, favorite gay bar, 0.73534, 6
5, sexiest pinball machine, 0.524548, 7
5, Strong drinks, 0.496971, 7
5, fun hog ranch, 0.704345, 8
5, place, 0.611846, 8
5, inexpensive drinks, 0.495236, 9
5, sexy bartenders, 0.489025, 9
